Council area,Registration Year,Standardised birth rate,
South Ayrshire,2017,10.6,
South Lanarkshire,2017,11.1,
Stirling,2017,8.8,
West Dunbartonshire,2017,10.4,
West Lothian,2017,11.0,
Aberdeen City,2018,8.2,
Aberdeenshire,2018,12.2,
Angus,2018,10.2,
Argyll and Bute,2018,11.1,
City of Edinburgh,2018,6.9,
Clackmannanshire,2018,10.6,
Dumfries and Galloway,2018,10.5,
Dundee City,2018,8.3,
East Ayrshire,2018,10.7,
East Dunbartonshire,2018,11.5,
East Lothian,2018,11.0,
East Renfrewshire,2018,11.3,
Falkirk,2018,10.0,
Fife,2018,10.2,
Glasgow City,2018,7.8,
Highland,2018,10.3,
Inverclyde,2018,10.1,
Midlothian,2018,12.2,
Moray,2018,10.2,
Na h-Eileanan Siar,2018,10.7,
North Ayrshire,2018,9.8,
North Lanarkshire,2018,10.3,
Orkney Islands,2018,10.3,
Perth and Kinross,2018,9.9,
Renfrewshire,2018,10.0,
Scotland,2018,9.4,
Scottish Borders,2018,11.6,
Shetland Islands,2018,11.1,
South Ayrshire,2018,10.6,
South Lanarkshire,2018,10.9,
Stirling,2018,8.2,
West Dunbartonshire,2018,10.4,
West Lothian,2018,10.0,
Aberdeen City,2019,7.9,
Aberdeenshire,2019,11.1,
Angus,2019,10.3,
Argyll and Bute,2019,10.9,
City of Edinburgh,2019,6.4,
Clackmannanshire,2019,9.5,
Dumfries and Galloway,2019,10.2,
Dundee City,2019,7.9,
East Ayrshire,2019,10.7,
East Dunbartonshire,2019,11.1,
East Lothian,2019,10.4,
East Renfrewshire,2019,10.8,
Falkirk,2019,9.8,
Fife,2019,9.7,
Glasgow City,2019,7.7,
Highland,2019,10.1,
Inverclyde,2019,9.2,
Midlothian,2019,11.8,
Moray,2019,10.1,
Na h-Eileanan Siar,2019,10.5,
North Ayrshire,2019,9.9,
North Lanarkshire,2019,10.4,
Orkney Islands,2019,10.1,
Perth and Kinross,2019,9.7,
Renfrewshire,2019,9.8,
Scottish Borders,2019,10.8,
Shetland Islands,2019,10.8,
South Ayrshire,2019,9.5,
South Lanarkshire,2019,10.8,
Stirling,2019,8.0,
West Dunbartonshire,2019,10.0,
West Lothian,2019,10.3,
Scotland,2019,9.1,
,,,
© Crown Copyright 2020,,,
