Council area,Registration Year,Number of marriages,,,,,,,,,,
Dumfries and Galloway,1995,4699,,,,,,,,,,
Dundee City,1995,733,,,,,,,,,,
East Ayrshire,1995,419,,,,,,,,,,
East Dunbartonshire,1995,545,,,,,,,,,,
East Lothian,1995,513,,,,,,,,,,
East Renfrewshire,1995,555,,,,,,,,,,
Falkirk,1995,750,,,,,,,,,,
Fife,1995,1870,,,,,,,,,,
Glasgow City,1995,3051,,,,,,,,,,
Highland,1995,1375,,,,,,,,,,
Inverclyde,1995,403,,,,,,,,,,
Midlothian,1995,407,,,,,,,,,,
Moray,1995,509,,,,,,,,,,
Na h-Eileanan Siar,1995,100,,,,,,,,,,
North Ayrshire,1995,695,,,,,,,,,,
North Lanarkshire,1995,1501,,,,,,,,,,
Orkney Islands,1995,106,,,,,,,,,,
Perth and Kinross,1995,911,,,,,,,,,,
Renfrewshire,1995,702,,,,,,,,,,
Scotland,1995,"30,663",,,,,,,,,,
Scottish Borders,1995,567,,,,,,,,,,
Shetland Islands,1995,101,,,,,,,,,,
South Ayrshire,1995,759,,,,,,,,,,
South Lanarkshire,1995,1254,,,,,,,,,,
Stirling,1995,623,,,,,,,,,,
West Dunbartonshire,1995,467,,,,,,,,,,
West Lothian,1995,666,,,,,,,,,,
Aberdeen City,1996,1047,,,,,,,,,,
Aberdeenshire,1996,1054,,,,,,,,,,
Angus,1996,424,,,,,,,,,,
Argyll and Bute,1996,612,,,,,,,,,,
City of Edinburgh,1996,2778,,,,,,,,,,
Clackmannanshire,1996,208,,,,,,,,,,
Dumfries and Galloway,1996,5064,,,,,,,,,,
Dundee City,1996,761,,,,,,,,,,
East Ayrshire,1996,419,,,,,,,,,,
East Dunbartonshire,1996,469,,,,,,,,,,
East Lothian,1996,463,,,,,,,,,,
East Renfrewshire,1996,550,,,,,,,,,,
Falkirk,1996,673,,,,,,,,,,
Fife,1996,1794,,,,,,,,,,
Glasgow City,1996,3015,,,,,,,,,,
Highland,1996,1444,,,,,,,,,,
Inverclyde,1996,367,,,,,,,,,,
Midlothian,1996,463,,,,,,,,,,
Moray,1996,472,,,,,,,,,,
Na h-Eileanan Siar,1996,107,,,,,,,,,,
North Ayrshire,1996,668,,,,,,,,,,
North Lanarkshire,1996,1413,,,,,,,,,,
Orkney Islands,1996,109,,,,,,,,,,
Perth and Kinross,1996,887,,,,,,,,,,
Renfrewshire,1996,596,,,,,,,,,,
Scotland,1996,"30,241",,,,,,,,,,
Scottish Borders,1996,602,,,,,,,,,,
Shetland Islands,1996,88,,,,,,,,,,
South Ayrshire,1996,745,,,,,,,,,,
South Lanarkshire,1996,1174,,,,,,,,,,
Stirling,1996,654,,,,,,,,,,
West Dunbartonshire,1996,482,,,,,,,,,,
West Lothian,1996,639,,,,,,,,,,
Aberdeen City,1997,1061,,,,,,,,,,
Aberdeenshire,1997,1115,,,,,,,,,,
Angus,1997,381,,,,,,,,,,
Argyll and Bute,1997,616,,,,,,,,,,
City of Edinburgh,1997,2606,,,,,,,,,,
Clackmannanshire,1997,214,,,,,,,,,,
Dumfries and Galloway,1997,5237,,,,,,,,,,
Dundee City,1997,695,,,,,,,,,,
East Ayrshire,1997,414,,,,,,,,,,
East Dunbartonshire,1997,456,,,,,,,,,,
East Lothian,1997,431,,,,,,,,,,
East Renfrewshire,1997,477,,,,,,,,,,
Falkirk,1997,655,,,,,,,,,,
Fife,1997,1735,,,,,,,,,,
Glasgow City,1997,2924,,,,,,,,,,
Highland,1997,1381,,,,,,,,,,
Inverclyde,1997,342,,,,,,,,,,
Midlothian,1997,478,,,,,,,,,,
Moray,1997,438,,,,,,,,,,
Na h-Eileanan Siar,1997,105,,,,,,,,,,
North Ayrshire,1997,656,,,,,,,,,,
North Lanarkshire,1997,1281,,,,,,,,,,
Orkney Islands,1997,101,,,,,,,,,,
Perth and Kinross,1997,889,,,,,,,,,,
Renfrewshire,1997,627,,,,,,,,,,
Scotland,1997,"29,611",,,,,,,,,,
Scottish Borders,1997,600,,,,,,,,,,
Shetland Islands,1997,101,,,,,,,,,,
South Ayrshire,1997,688,,,,,,,,,,
South Lanarkshire,1997,1160,,,,,,,,,,
Stirling,1997,660,,,,,,,,,,
West Dunbartonshire,1997,461,,,,,,,,,,
West Lothian,1997,626,,,,,,,,,,
Aberdeen City,1998,984,,,,,,,,,,
Aberdeenshire,1998,1100,,,,,,,,,,
Angus,1998,423,,,,,,,,,,
Argyll and Bute,1998,655,,,,,,,,,,
City of Edinburgh,1998,2677,,,,,,,,,,
Clackmannanshire,1998,179,,,,,,,,,,
Dumfries and Galloway,1998,5546,,,,,,,,,,
Dundee City,1998,643,,,,,,,,,,
East Ayrshire,1998,416,,,,,,,,,,
East Dunbartonshire,1998,451,,,,,,,,,,
East Lothian,1998,458,,,,,,,,,,
East Renfrewshire,1998,471,,,,,,,,,,
Falkirk,1998,581,,,,,,,,,,
Fife,1998,1770,,,,,,,,,,
Glasgow City,1998,2769,,,,,,,,,,
Highland,1998,1451,,,,,,,,,,
Inverclyde,1998,318,,,,,,,,,,
Midlothian,1998,576,,,,,,,,,,
Moray,1998,420,,,,,,,,,,
Na h-Eileanan Siar,1998,95,,,,,,,,,,
North Ayrshire,1998,593,,,,,,,,,,
North Lanarkshire,1998,1247,,,,,,,,,,
Orkney Islands,1998,110,,,,,,,,,,
Perth and Kinross,1998,913,,,,,,,,,,
Renfrewshire,1998,575,,,,,,,,,,
Scotland,1998,"29,668",,,,,,,,,,
Scottish Borders,1998,613,,,,,,,,,,
Shetland Islands,1998,86,,,,,,,,,,
South Ayrshire,1998,688,,,,,,,,,,
South Lanarkshire,1998,1081,,,,,,,,,,
Stirling,1998,688,,,,,,,,,,
West Dunbartonshire,1998,463,,,,,,,,,,
West Lothian,1998,628,,,,,,,,,,
Aberdeen City,1999,965,,,,,,,,,,
Aberdeenshire,1999,1038,,,,,,,,,,
Angus,1999,412,,,,,,,,,,
Argyll and Bute,1999,634,,,,,,,,,,
City of Edinburgh,1999,2582,,,,,,,,,,
Clackmannanshire,1999,201,,,,,,,,,,
Dumfries and Galloway,1999,6249,,,,,,,,,,
Dundee City,1999,619,,,,,,,,,,
East Ayrshire,1999,360,,,,,,,,,,
East Dunbartonshire,1999,401,,,,,,,,,,
East Lothian,1999,447,,,,,,,,,,
East Renfrewshire,1999,509,,,,,,,,,,
Falkirk,1999,571,,,,,,,,,,
Fife,1999,1713,,,,,,,,,,
Glasgow City,1999,2771,,,,,,,,,,
Highland,1999,1380,,,,,,,,,,
Inverclyde,1999,313,,,,,,,,,,
Midlothian,1999,641,,,,,,,,,,
Moray,1999,417,,,,,,,,,,
Na h-Eileanan Siar,1999,94,,,,,,,,,,
North Ayrshire,1999,618,,,,,,,,,,
North Lanarkshire,1999,1237,,,,,,,,,,
Orkney Islands,1999,89,,,,,,,,,,
Perth and Kinross,1999,916,,,,,,,,,,
Renfrewshire,1999,554,,,,,,,,,,
Scotland,1999,"29,940",,,,,,,,,,
Scottish Borders,1999,594,,,,,,,,,,
Shetland Islands,1999,95,,,,,,,,,,
South Ayrshire,1999,669,,,,,,,,,,
South Lanarkshire,1999,1068,,,,,,,,,,
Stirling,1999,717,,,,,,,,,,
West Dunbartonshire,1999,444,,,,,,,,,,
West Lothian,1999,622,,,,,,,,,,
Aberdeen City,2000,1018,,,,,,,,,,
Aberdeenshire,2000,1037,,,,,,,,,,
Angus,2000,413,,,,,,,,,,
Argyll and Bute,2000,689,,,,,,,,,,
City of Edinburgh,2000,2467,,,,,,,,,,
Clackmannanshire,2000,188,,,,,,,,,,
Dumfries and Galloway,2000,6363,,,,,,,,,,
Dundee City,2000,601,,,,,,,,,,
East Ayrshire,2000,378,,,,,,,,,,
East Dunbartonshire,2000,400,,,,,,,,,,
East Lothian,2000,455,,,,,,,,,,
East Renfrewshire,2000,497,,,,,,,,,,
Falkirk,2000,631,,,,,,,,,,
Fife,2000,1782,,,,,,,,,,
Glasgow City,2000,2726,,,,,,,,,,
Highland,2000,1496,,,,,,,,,,
Inverclyde,2000,313,,,,,,,,,,
Midlothian,2000,639,,,,,,,,,,
Moray,2000,395,,,,,,,,,,
Na h-Eileanan Siar,2000,91,,,,,,,,,,
North Ayrshire,2000,630,,,,,,,,,,
North Lanarkshire,2000,1200,,,,,,,,,,
Orkney Islands,2000,96,,,,,,,,,,
Perth and Kinross,2000,919,,,,,,,,,,
Renfrewshire,2000,564,,,,,,,,,,
Scotland,2000,"30,367",,,,,,,,,,
Scottish Borders,2000,681,,,,,,,,,,
Shetland Islands,2000,88,,,,,,,,,,
South Ayrshire,2000,688,,,,,,,,,,
South Lanarkshire,2000,1153,,,,,,,,,,
Stirling,2000,729,,,,,,,,,,
West Dunbartonshire,2000,457,,,,,,,,,,
West Lothian,2000,583,,,,,,,,,,
