Council area,Registration Year,Number of marriages,,,,,,,,,,
East Renfrewshire,2009,357,,,,,,,,,,
Falkirk,2009,767,,,,,,,,,,
Fife,2009,1662,,,,,,,,,,
Glasgow City,2009,2293,,,,,,,,,,
Highland,2009,1594,,,,,,,,,,
Inverclyde,2009,239,,,,,,,,,,
Midlothian,2009,408,,,,,,,,,,
Moray,2009,393,,,,,,,,,,
Na h-Eileanan Siar,2009,102,,,,,,,,,,
North Ayrshire,2009,678,,,,,,,,,,
North Lanarkshire,2009,909,,,,,,,,,,
Orkney Islands,2009,122,,,,,,,,,,
Perth and Kinross,2009,976,,,,,,,,,,
Renfrewshire,2009,478,,,,,,,,,,
Scotland,2009,"27,524",,,,,,,,,,
Scottish Borders,2009,682,,,,,,,,,,
Shetland Islands,2009,74,,,,,,,,,,
South Ayrshire,2009,726,,,,,,,,,,
South Lanarkshire,2009,1086,,,,,,,,,,
Stirling,2009,694,,,,,,,,,,
West Dunbartonshire,2009,409,,,,,,,,,,
West Lothian,2009,605,,,,,,,,,,
Aberdeen City,2010,828,,,,,,,,,,
Aberdeenshire,2010,1221,,,,,,,,,,
Angus,2010,445,,,,,,,,,,
Argyll and Bute,2010,931,,,,,,,,,,
City of Edinburgh,2010,2677,,,,,,,,,,
Clackmannanshire,2010,169,,,,,,,,,,
Dumfries and Galloway,2010,4881,,,,,,,,,,
Dundee City,2010,548,,,,,,,,,,
East Ayrshire,2010,400,,,,,,,,,,
East Dunbartonshire,2010,258,,,,,,,,,,
East Lothian,2010,482,,,,,,,,,,
East Renfrewshire,2010,348,,,,,,,,,,
Falkirk,2010,846,,,,,,,,,,
Fife,2010,1627,,,,,,,,,,
Glasgow City,2010,2501,,,,,,,,,,
Highland,2010,1591,,,,,,,,,,
Inverclyde,2010,222,,,,,,,,,,
Midlothian,2010,396,,,,,,,,,,
Moray,2010,379,,,,,,,,,,
Na h-Eileanan Siar,2010,102,,,,,,,,,,
North Ayrshire,2010,692,,,,,,,,,,
North Lanarkshire,2010,895,,,,,,,,,,
Orkney Islands,2010,94,,,,,,,,,,
Perth and Kinross,2010,986,,,,,,,,,,
Renfrewshire,2010,532,,,,,,,,,,
Scotland,2010,"28,480",,,,,,,,,,
Scottish Borders,2010,705,,,,,,,,,,
Shetland Islands,2010,93,,,,,,,,,,
South Ayrshire,2010,764,,,,,,,,,,
South Lanarkshire,2010,1007,,,,,,,,,,
Stirling,2010,667,,,,,,,,,,
West Dunbartonshire,2010,414,,,,,,,,,,
West Lothian,2010,779,,,,,,,,,,
Aberdeen City,2011,873,,,,,,,,,,
Aberdeenshire,2011,1136,,,,,,,,,,
Angus,2011,422,,,,,,,,,,
Argyll and Bute,2011,998,,,,,,,,,,
City of Edinburgh,2011,2765,,,,,,,,,,
Clackmannanshire,2011,154,,,,,,,,,,
Dumfries and Galloway,2011,4954,,,,,,,,,,
Dundee City,2011,572,,,,,,,,,,
East Ayrshire,2011,376,,,,,,,,,,
East Dunbartonshire,2011,246,,,,,,,,,,
East Lothian,2011,550,,,,,,,,,,
East Renfrewshire,2011,297,,,,,,,,,,
Falkirk,2011,801,,,,,,,,,,
Fife,2011,1631,,,,,,,,,,
Glasgow City,2011,2846,,,,,,,,,,
Highland,2011,1575,,,,,,,,,,
Inverclyde,2011,222,,,,,,,,,,
Midlothian,2011,408,,,,,,,,,,
Moray,2011,366,,,,,,,,,,
Na h-Eileanan Siar,2011,112,,,,,,,,,,
North Ayrshire,2011,697,,,,,,,,,,
North Lanarkshire,2011,917,,,,,,,,,,
Orkney Islands,2011,122,,,,,,,,,,
Perth and Kinross,2011,907,,,,,,,,,,
Renfrewshire,2011,588,,,,,,,,,,
Scotland,2011,"29,135",,,,,,,,,,
Scottish Borders,2011,732,,,,,,,,,,
Shetland Islands,2011,88,,,,,,,,,,
South Ayrshire,2011,753,,,,,,,,,,
South Lanarkshire,2011,1089,,,,,,,,,,
Stirling,2011,669,,,,,,,,,,
West Dunbartonshire,2011,401,,,,,,,,,,
West Lothian,2011,868,,,,,,,,,,
Aberdeen City,2012,904,,,,,,,,,,
Aberdeenshire,2012,1302,,,,,,,,,,
Angus,2012,471,,,,,,,,,,
Argyll and Bute,2012,1068,,,,,,,,,,
City of Edinburgh,2012,2945,,,,,,,,,,
Clackmannanshire,2012,178,,,,,,,,,,
Dumfries and Galloway,2012,5249,,,,,,,,,,
Dundee City,2012,554,,,,,,,,,,
East Ayrshire,2012,452,,,,,,,,,,
East Dunbartonshire,2012,225,,,,,,,,,,
East Lothian,2012,528,,,,,,,,,,
East Renfrewshire,2012,324,,,,,,,,,,
Falkirk,2012,798,,,,,,,,,,
Fife,2012,1641,,,,,,,,,,
Glasgow City,2012,2795,,,,,,,,,,
Highland,2012,1688,,,,,,,,,,
Inverclyde,2012,224,,,,,,,,,,
Midlothian,2012,389,,,,,,,,,,
Moray,2012,367,,,,,,,,,,
Na h-Eileanan Siar,2012,117,,,,,,,,,,
North Ayrshire,2012,718,,,,,,,,,,
North Lanarkshire,2012,983,,,,,,,,,,
Orkney Islands,2012,114,,,,,,,,,,
Perth and Kinross,2012,1041,,,,,,,,,,
Renfrewshire,2012,631,,,,,,,,,,
Scotland,2012,"30,534",,,,,,,,,,
Scottish Borders,2012,688,,,,,,,,,,
Shetland Islands,2012,101,,,,,,,,,,
South Ayrshire,2012,901,,,,,,,,,,
South Lanarkshire,2012,1152,,,,,,,,,,
Stirling,2012,708,,,,,,,,,,
West Dunbartonshire,2012,394,,,,,,,,,,
West Lothian,2012,884,,,,,,,,,,
Aberdeen City,2013,818,,,,,,,,,,
Aberdeenshire,2013,1133,,,,,,,,,,
Angus,2013,382,,,,,,,,,,
Argyll and Bute,2013,987,,,,,,,,,,
City of Edinburgh,2013,2717,,,,,,,,,,
Clackmannanshire,2013,169,,,,,,,,,,
Dumfries and Galloway,2013,4461,,,,,,,,,,
Dundee City,2013,476,,,,,,,,,,
East Ayrshire,2013,412,,,,,,,,,,
East Dunbartonshire,2013,248,,,,,,,,,,
East Lothian,2013,543,,,,,,,,,,
East Renfrewshire,2013,274,,,,,,,,,,
Falkirk,2013,705,,,,,,,,,,
Fife,2013,1505,,,,,,,,,,
Glasgow City,2013,2584,,,,,,,,,,
Highland,2013,1491,,,,,,,,,,
Inverclyde,2013,208,,,,,,,,,,
Midlothian,2013,359,,,,,,,,,,
Moray,2013,364,,,,,,,,,,
Na h-Eileanan Siar,2013,109,,,,,,,,,,
North Ayrshire,2013,732,,,,,,,,,,
North Lanarkshire,2013,900,,,,,,,,,,
Orkney Islands,2013,109,,,,,,,,,,
Perth and Kinross,2013,977,,,,,,,,,,
Renfrewshire,2013,604,,,,,,,,,,
Scotland,2013,"27,547",,,,,,,,,,
Scottish Borders,2013,584,,,,,,,,,,
Shetland Islands,2013,92,,,,,,,,,,
South Ayrshire,2013,808,,,,,,,,,,
South Lanarkshire,2013,1018,,,,,,,,,,
Stirling,2013,579,,,,,,,,,,
West Dunbartonshire,2013,346,,,,,,,,,,
West Lothian,2013,853,,,,,,,,,,
Aberdeen City,2014,895,,,,,,,,,,
Aberdeenshire,2014,1283,,,,,,,,,,
Angus,2014,462,,,,,,,,,,
Argyll and Bute,2014,1037,,,,,,,,,,
City of Edinburgh,2014,2910,,,,,,,,,,
Clackmannanshire,2014,177,,,,,,,,,,
Dumfries and Galloway,2014,4385,,,,,,,,,,
Dundee City,2014,542,,,,,,,,,,
East Ayrshire,2014,489,,,,,,,,,,
East Dunbartonshire,2014,238,,,,,,,,,,
East Lothian,2014,556,,,,,,,,,,
East Renfrewshire,2014,278,,,,,,,,,,
Falkirk,2014,714,,,,,,,,,,
Fife,2014,1614,,,,,,,,,,
Glasgow City,2014,2584,,,,,,,,,,
Highland,2014,1515,,,,,,,,,,
Inverclyde,2014,203,,,,,,,,,,
Midlothian,2014,366,,,,,,,,,,
Moray,2014,376,,,,,,,,,,
Na h-Eileanan Siar,2014,143,,,,,,,,,,
North Ayrshire,2014,736,,,,,,,,,,
North Lanarkshire,2014,1015,,,,,,,,,,
Orkney Islands,2014,102,,,,,,,,,,
Perth and Kinross,2014,1021,,,,,,,,,,
Renfrewshire,2014,708,,,,,,,,,,
Scotland,2014,"29,069",,,,,,,,,,
Scottish Borders,2014,666,,,,,,,,,,
Shetland Islands,2014,105,,,,,,,,,,
South Ayrshire,2014,862,,,,,,,,,,
South Lanarkshire,2014,1119,,,,,,,,,,
Stirling,2014,685,,,,,,,,,,
West Dunbartonshire,2014,358,,,,,,,,,,
West Lothian,2014,925,,,,,,,,,,
Aberdeen City,2015,819,,,,,,,,,,
Aberdeenshire,2015,1324,,,,,,,,,,
Angus,2015,506,,,,,,,,,,
Argyll and Bute,2015,1076,,,,,,,,,,
City of Edinburgh,2015,3156,,,,,,,,,,
Clackmannanshire,2015,157,,,,,,,,,,
Dumfries and Galloway,2015,4395,,,,,,,,,,
Dundee City,2015,525,,,,,,,,,,
East Ayrshire,2015,500,,,,,,,,,,
East Dunbartonshire,2015,232,,,,,,,,,,
East Lothian,2015,611,,,,,,,,,,
East Renfrewshire,2015,331,,,,,,,,,,
Falkirk,2015,744,,,,,,,,,,
Fife,2015,1667,,,,,,,,,,
Glasgow City,2015,2673,,,,,,,,,,
Highland,2015,1496,,,,,,,,,,
Inverclyde,2015,210,,,,,,,,,,
Midlothian,2015,392,,,,,,,,,,
Moray,2015,412,,,,,,,,,,
Na h-Eileanan Siar,2015,123,,,,,,,,,,
North Ayrshire,2015,671,,,,,,,,,,
North Lanarkshire,2015,860,,,,,,,,,,
Orkney Islands,2015,114,,,,,,,,,,
Perth and Kinross,2015,1111,,,,,,,,,,
Renfrewshire,2015,761,,,,,,,,,,
Scotland,2015,"29,691",,,,,,,,,,
Scottish Borders,2015,670,,,,,,,,,,
Shetland Islands,2015,86,,,,,,,,,,
South Ayrshire,2015,858,,,,,,,,,,
South Lanarkshire,2015,1168,,,,,,,,,,
Stirling,2015,746,,,,,,,,,,
West Dunbartonshire,2015,353,,,,,,,,,,
West Lothian,2015,944,,,,,,,,,,
Aberdeen City,2016,846,,,,,,,,,,
Aberdeenshire,2016,1240,,,,,,,,,,
Angus,2016,495,,,,,,,,,,
Argyll and Bute,2016,1133,,,,,,,,,,
City of Edinburgh,2016,2873,,,,,,,,,,
Clackmannanshire,2016,182,,,,,,,,,,
Dumfries and Galloway,2016,4575,,,,,,,,,,
Dundee City,2016,496,,,,,,,,,,
East Ayrshire,2016,516,,,,,,,,,,
East Dunbartonshire,2016,232,,,,,,,,,,
East Lothian,2016,592,,,,,,,,,,
East Renfrewshire,2016,343,,,,,,,,,,
Falkirk,2016,762,,,,,,,,,,
Fife,2016,1623,,,,,,,,,,
Glasgow City,2016,2556,,,,,,,,,,
Highland,2016,1556,,,,,,,,,,
Inverclyde,2016,208,,,,,,,,,,
Midlothian,2016,369,,,,,,,,,,
Moray,2016,349,,,,,,,,,,
Na h-Eileanan Siar,2016,118,,,,,,,,,,
North Ayrshire,2016,666,,,,,,,,,,
North Lanarkshire,2016,910,,,,,,,,,,
Orkney Islands,2016,112,,,,,,,,,,
Perth and Kinross,2016,1090,,,,,,,,,,
Renfrewshire,2016,759,,,,,,,,,,
Scotland,2016,"29,229",,,,,,,,,,
Scottish Borders,2016,626,,,,,,,,,,
Shetland Islands,2016,89,,,,,,,,,,
South Ayrshire,2016,851,,,,,,,,,,
South Lanarkshire,2016,1116,,,,,,,,,,
Stirling,2016,724,,,,,,,,,,
West Dunbartonshire,2016,352,,,,,,,,,,
West Lothian,2016,870,,,,,,,,,,
Aberdeen City,2017,710,,,,,,,,,,
Aberdeenshire,2017,1198,,,,,,,,,,
Angus,2017,437,,,,,,,,,,
Argyll and Bute,2017,1120,,,,,,,,,,
City of Edinburgh,2017,2949,,,,,,,,,,
Clackmannanshire,2017,186,,,,,,,,,,
Dumfries and Galloway,2017,4291,,,,,,,,,,
Dundee City,2017,491,,,,,,,,,,
East Ayrshire,2017,484,,,,,,,,,,
East Dunbartonshire,2017,249,,,,,,,,,,
East Lothian,2017,637,,,,,,,,,,
East Renfrewshire,2017,311,,,,,,,,,,
Falkirk,2017,776,,,,,,,,,,
Fife,2017,1568,,,,,,,,,,
Glasgow City,2017,2457,,,,,,,,,,
Highland,2017,1632,,,,,,,,,,
Inverclyde,2017,182,,,,,,,,,,
Midlothian,2017,417,,,,,,,,,,
Moray,2017,353,,,,,,,,,,
Na h-Eileanan Siar,2017,117,,,,,,,,,,
North Ayrshire,2017,670,,,,,,,,,,
North Lanarkshire,2017,884,,,,,,,,,,
Orkney Islands,2017,90,,,,,,,,,,
Perth and Kinross,2017,1067,,,,,,,,,,
Renfrewshire,2017,755,,,,,,,,,,
Scotland,2017,"28,440",,,,,,,,,,
Scottish Borders,2017,638,,,,,,,,,,
Shetland Islands,2017,87,,,,,,,,,,
South Ayrshire,2017,840,,,,,,,,,,
South Lanarkshire,2017,1074,,,,,,,,,,
Stirling,2017,692,,,,,,,,,,
West Dunbartonshire,2017,314,,,,,,,,,,
West Lothian,2017,764,,,,,,,,,,
Aberdeen City,2018,709,,,,,,,,,,
Aberdeenshire,2018,"1,249",,,,,,,,,,
Angus,2018,434,,,,,,,,,,
Argyll and Bute,2018,"1,078",,,,,,,,,,
City of Edinburgh,2018,"2,804",,,,,,,,,,
Clackmannanshire,2018,180,,,,,,,,,,
Dumfries and Galloway,2018,"4,054",,,,,,,,,,
Dundee City,2018,512,,,,,,,,,,
East Ayrshire,2018,549,,,,,,,,,,
East Dunbartonshire,2018,222,,,,,,,,,,
East Lothian,2018,567,,,,,,,,,,
East Renfrewshire,2018,283,,,,,,,,,,
Falkirk,2018,715,,,,,,,,,,
Fife,2018,"1,475",,,,,,,,,,
Glasgow City,2018,"2,469",,,,,,,,,,
Highland,2018,"1,510",,,,,,,,,,
Inverclyde,2018,168,,,,,,,,,,
Midlothian,2018,426,,,,,,,,,,
Moray,2018,348,,,,,,,,,,
Na h-Eileanan Siar,2018,111,,,,,,,,,,
North Ayrshire,2018,664,,,,,,,,,,
North Lanarkshire,2018,870,,,,,,,,,,
Orkney Islands,2018,95,,,,,,,,,,
Perth and Kinross,2018,"1,059",,,,,,,,,,
Renfrewshire,2018,671,,,,,,,,,,
Scotland,2018,"27,525",,,,,,,,,,
Scottish Borders,2018,643,,,,,,,,,,
Shetland Islands,2018,66,,,,,,,,,,
South Ayrshire,2018,859,,,,,,,,,,
South Lanarkshire,2018,"1,045",,,,,,,,,,
Stirling,2018,679,,,,,,,,,,
West Dunbartonshire,2018,267,,,,,,,,,,
West Lothian,2018,744,,,,,,,,,,
Aberdeen City,2019,651,,,,,,,,,,
Aberdeenshire,2019,1164,,,,,,,,,,
Angus,2019,391,,,,,,,,,,
Argyll and Bute,2019,995,,,,,,,,,,
City of Edinburgh,2019,2618,,,,,,,,,,
Clackmannanshire,2019,186,,,,,,,,,,
Dumfries and Galloway,2019,4108,,,,,,,,,,
Dundee City,2019,440,,,,,,,,,,
East Ayrshire,2019,493,,,,,,,,,,
East Dunbartonshire,2019,198,,,,,,,,,,
East Lothian,2019,521,,,,,,,,,,
East Renfrewshire,2019,292,,,,,,,,,,
Falkirk,2019,635,,,,,,,,,,
Fife,2019,1490,,,,,,,,,,
Glasgow City,2019,2295,,,,,,,,,,
Highland,2019,1487,,,,,,,,,,
Inverclyde,2019,168,,,,,,,,,,
Midlothian,2019,382,,,,,,,,,,
Moray,2019,301,,,,,,,,,,
Na h-Eileanan Siar,2019,118,,,,,,,,,,
North Ayrshire,2019,632,,,,,,,,,,
North Lanarkshire,2019,750,,,,,,,,,,
Orkney Islands,2019,77,,,,,,,,,,
Perth and Kinross,2019,959,,,,,,,,,,
Renfrewshire,2019,603,,,,,,,,,,
Scotland,2019,26007,,,,,,,,,,
Scottish Borders,2019,675,,,,,,,,,,
Shetland Islands,2019,70,,,,,,,,,,
South Ayrshire,2019,793,,,,,,,,,,
South Lanarkshire,2019,1038,,,,,,,,,,
Stirling,2019,554,,,,,,,,,,
West Dunbartonshire,2019,268,,,,,,,,,,
West Lothian,2019,655,,,,,,,,,,
,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,
