Council area,Registration Year,Standardised death rate,,,,
Scotland,2013,10.3,,,,
Scottish Borders,2013,8.7,,,,
Shetland Islands,2013,8.9,,,,
South Ayrshire,2013,10.1,,,,
South Lanarkshire,2013,10.6,,,,
Stirling,2013,9.4,,,,
West Dunbartonshire,2013,12,,,,
West Lothian,2013,10.2,,,,
Aberdeen City,2014,10.9,,,,
Aberdeenshire,2014,9.1,,,,
Angus,2014,9.3,,,,
Argyll and Bute,2014,9.4,,,,
City of Edinburgh,2014,9.4,,,,
Clackmannanshire,2014,10.1,,,,
Dumfries and Galloway,2014,9.9,,,,
Dundee City,2014,10.8,,,,
East Ayrshire,2014,11.2,,,,
East Dunbartonshire,2014,8.3,,,,
East Lothian,2014,9.4,,,,
East Renfrewshire,2014,8.7,,,,
Falkirk,2014,10,,,,
Fife,2014,9.3,,,,
Glasgow City,2014,12.7,,,,
Highland,2014,9,,,,
Inverclyde,2014,10.8,,,,
Midlothian,2014,10.1,,,,
Moray,2014,9.2,,,,
Na h-Eileanan Siar,2014,9.7,,,,
North Ayrshire,2014,10.6,,,,
North Lanarkshire,2014,11.6,,,,
Orkney Islands,2014,8.2,,,,
Perth and Kinross,2014,8.3,,,,
Renfrewshire,2014,11,,,,
Scotland,2014,10.1,,,,
Scottish Borders,2014,9.5,,,,
Shetland Islands,2014,9.7,,,,
South Ayrshire,2014,9.9,,,,
South Lanarkshire,2014,10.5,,,,
Stirling,2014,9.8,,,,
West Dunbartonshire,2014,12,,,,
West Lothian,2014,10.3,,,,
Aberdeen City,2015,10.9,,,,
Aberdeenshire,2015,9.7,,,,
Angus,2015,9.6,,,,
Argyll and Bute,2015,10.6,,,,
City of Edinburgh,2015,9.8,,,,
Clackmannanshire,2015,11.1,,,,
Dumfries and Galloway,2015,10,,,,
Dundee City,2015,11.9,,,,
East Ayrshire,2015,11.4,,,,
East Dunbartonshire,2015,8.4,,,,
East Lothian,2015,9.8,,,,
East Renfrewshire,2015,8.6,,,,
Falkirk,2015,10.6,,,,
Fife,2015,10.4,,,,
Glasgow City,2015,13.4,,,,
Highland,2015,9.8,,,,
Inverclyde,2015,11.8,,,,
Midlothian,2015,10.7,,,,
Moray,2015,10.1,,,,
Na h-Eileanan Siar,2015,9.8,,,,
North Ayrshire,2015,11.7,,,,
North Lanarkshire,2015,12.4,,,,
Orkney Islands,2015,8.7,,,,
Perth and Kinross,2015,9,,,,
Renfrewshire,2015,11.4,,,,
Scotland,2015,10.7,,,,
Scottish Borders,2015,9.9,,,,
Shetland Islands,2015,11,,,,
South Ayrshire,2015,10.5,,,,
South Lanarkshire,2015,11.1,,,,
Stirling,2015,10,,,,
West Dunbartonshire,2015,12.7,,,,
West Lothian,2015,10.2,,,,
Aberdeen City,2016,10.6,,,,
Aberdeenshire,2016,9.3,,,,
Angus,2016,10.2,,,,
Argyll and Bute,2016,10.1,,,,
City of Edinburgh,2016,9.8,,,,
Clackmannanshire,2016,10.9,,,,
Dumfries and Galloway,2016,9.6,,,,
Dundee City,2016,11.5,,,,
East Ayrshire,2016,11.7,,,,
East Dunbartonshire,2016,8.7,,,,
East Lothian,2016,9.1,,,,
East Renfrewshire,2016,8.5,,,,
Falkirk,2016,11.3,,,,
Fife,2016,10.6,,,,
Glasgow City,2016,13,,,,
Highland,2016,9.1,,,,
Inverclyde,2016,11.5,,,,
Midlothian,2016,10,,,,
Moray,2016,9.3,,,,
Na h-Eileanan Siar,2016,10.1,,,,
North Ayrshire,2016,10.7,,,,
North Lanarkshire,2016,12.1,,,,
Orkney Islands,2016,8.6,,,,
Perth and Kinross,2016,8.7,,,,
Renfrewshire,2016,11.7,,,,
Scotland,2016,10.5,,,,
Scottish Borders,2016,9,,,,
Shetland Islands,2016,10,,,,
South Ayrshire,2016,10.1,,,,
South Lanarkshire,2016,11.1,,,,
Stirling,2016,9.7,,,,
West Dunbartonshire,2016,12.1,,,,
West Lothian,2016,10.4,,,,
Aberdeen City,2017,10.6,,,,
Aberdeenshire,2017,9.7,,,,
Angus,2017,9.9,,,,
Argyll and Bute,2017,9.7,,,,
City of Edinburgh,2017,9.6,,,,
Clackmannanshire,2017,11,,,,
Dumfries and Galloway,2017,10.3,,,,
Dundee City,2017,12.2,,,,
East Ayrshire,2017,11.6,,,,
East Dunbartonshire,2017,8.9,,,,
East Lothian,2017,10.2,,,,
East Renfrewshire,2017,8.8,,,,
Falkirk,2017,10.6,,,,
Fife,2017,10.8,,,,
Glasgow City,2017,13.4,,,,
Highland,2017,9.7,,,,
Inverclyde,2017,12.6,,,,
Midlothian,2017,10.4,,,,
Moray,2017,9.5,,,,
Na h-Eileanan Siar,2017,9.7,,,,
North Ayrshire,2017,11.1,,,,
North Lanarkshire,2017,12.4,,,,
Orkney Islands,2017,10.6,,,,
Perth and Kinross,2017,9,,,,
Renfrewshire,2017,11.6,,,,
Scotland,2017,10.7,,,,
Scottish Borders,2017,9.1,,,,
Shetland Islands,2017,9,,,,
South Ayrshire,2017,9.9,,,,
South Lanarkshire,2017,11,,,,
Stirling,2017,8.6,,,,
West Dunbartonshire,2017,11.9,,,,
West Lothian,2017,10.8,,,,
Aberdeen City,2018,10.9,,,,
Aberdeenshire,2018,9.5,,,,
Angus,2018,9.6,,,,
Argyll and Bute,2018,10.2,,,,
City of Edinburgh,2018,10,,,,
Clackmannanshire,2018,10.4,,,,
Dumfries and Galloway,2018,10.1,,,,
Dundee City,2018,11.9,,,,
East Ayrshire,2018,12.1,,,,
East Dunbartonshire,2018,8.2,,,,
East Lothian,2018,9.5,,,,
East Renfrewshire,2018,8.6,,,,
Falkirk,2018,11.3,,,,
Fife,2018,10.3,,,,
Glasgow City,2018,13.3,,,,
Highland,2018,10,,,,
Inverclyde,2018,12.3,,,,
Midlothian,2018,10.3,,,,
Moray,2018,10,,,,
Na h-Eileanan Siar,2018,9.9,,,,
North Ayrshire,2018,11.5,,,,
North Lanarkshire,2018,12.3,,,,
Orkney Islands,2018,8.5,,,,
Perth and Kinross,2018,9,,,,
Renfrewshire,2018,11.4,,,,
Scotland,2018,10.8,,,,
Scottish Borders,2018,10.4,,,,
Shetland Islands,2018,9.3,,,,
South Ayrshire,2018,10.4,,,,
South Lanarkshire,2018,11.2,,,,
Stirling,2018,10,,,,
West Dunbartonshire,2018,13.6,,,,
West Lothian,2018,10.9,,,,
Aberdeen City,2019,10.8,,,,
Aberdeenshire,2019,9.7,,,,
Angus,2019,9.9,,,,
Argyll and Bute,2019,9.9,,,,
City of Edinburgh,2019,9.5,,,,
Clackmannanshire,2019,11.9,,,,
Dumfries and Galloway,2019,10,,,,
Dundee City,2019,11.7,,,,
East Ayrshire,2019,12,,,,
East Dunbartonshire,2019,8.6,,,,
East Lothian,2019,9,,,,
East Renfrewshire,2019,8.7,,,,
Falkirk,2019,11.4,,,,
Fife,2019,10.6,,,,
Glasgow City,2019,13.1,,,,
Highland,2019,9.8,,,,
Inverclyde,2019,12.4,,,,
Midlothian,2019,10.7,,,,
Moray,2019,9.7,,,,
Na h-Eileanan Siar,2019,9.9,,,,
North Ayrshire,2019,11.5,,,,
North Lanarkshire,2019,12.3,,,,
Orkney Islands,2019,8.6,,,,
Perth and Kinross,2019,8.9,,,,
Renfrewshire,2019,11.4,,,,
Scotland,2019,10.6,,,,
Scottish Borders,2019,9.1,,,,
Shetland Islands,2019,8.5,,,,
South Ayrshire,2019,10.3,,,,
South Lanarkshire,2019,10.9,,,,
Stirling,2019,10.2,,,,
West Dunbartonshire,2019,12.2,,,,
West Lothian,2019,10.2,,,,
,,,,,,
© Crown Copyright 2020,,,,,,
