Council area,Year,Sex,Age group,Type,Life expectancy
Aberdeen City,2001-03,Female,30 to 34,Estimate,50.66213837
Aberdeen City,2001-03,Female,30 to 34,Lower_CI,50.26648515
Aberdeen City,2001-03,Female,30 to 34,Upper_CI,51.05779159
Aberdeen City,2001-03,Female,35 to 39,Estimate,45.86941471
Aberdeen City,2001-03,Female,35 to 39,Lower_CI,45.4821183
Aberdeen City,2001-03,Female,35 to 39,Upper_CI,46.25671113
Aberdeen City,2001-03,Female,40 to 44,Estimate,41.03307288
Aberdeen City,2001-03,Female,40 to 44,Lower_CI,40.65176612
Aberdeen City,2001-03,Female,40 to 44,Upper_CI,41.41437964
Aberdeen City,2001-03,Female,45 to 49,Estimate,36.2829091
Aberdeen City,2001-03,Female,45 to 49,Lower_CI,35.9097581
Aberdeen City,2001-03,Female,45 to 49,Upper_CI,36.6560601
Aberdeen City,2001-03,Female,50 to 54,Estimate,31.6377976
Aberdeen City,2001-03,Female,50 to 54,Lower_CI,31.2761177
Aberdeen City,2001-03,Female,50 to 54,Upper_CI,31.9994775
Aberdeen City,2001-03,Female,55 to 59,Estimate,27.16443345
Aberdeen City,2001-03,Female,55 to 59,Lower_CI,26.81758173
Aberdeen City,2001-03,Female,55 to 59,Upper_CI,27.51128518
Aberdeen City,2001-03,Female,60 to 64,Estimate,22.85742029
Aberdeen City,2001-03,Female,60 to 64,Lower_CI,22.53033629
Aberdeen City,2001-03,Female,60 to 64,Upper_CI,23.18450428
Aberdeen City,2001-03,Female,65 to 69,Estimate,18.71855152
Aberdeen City,2001-03,Female,65 to 69,Lower_CI,18.41477374
Aberdeen City,2001-03,Female,65 to 69,Upper_CI,19.02232931
Aberdeen City,2001-03,Female,70 to 74,Estimate,14.91824105
Aberdeen City,2001-03,Female,70 to 74,Lower_CI,14.63842747
Aberdeen City,2001-03,Female,70 to 74,Upper_CI,15.19805463
Aberdeen City,2001-03,Female,75 to 79,Estimate,11.49157198
Aberdeen City,2001-03,Female,75 to 79,Lower_CI,11.23085776
Aberdeen City,2001-03,Female,75 to 79,Upper_CI,11.7522862
Aberdeen City,2001-03,Female,80 to 84,Estimate,8.571841652
Aberdeen City,2001-03,Female,80 to 84,Lower_CI,8.322275466
Aberdeen City,2001-03,Female,80 to 84,Upper_CI,8.821407838
Aberdeen City,2001-03,Female,85 to 89,Estimate,6.135295085
Aberdeen City,2001-03,Female,85 to 89,Lower_CI,5.875299333
Aberdeen City,2001-03,Female,85 to 89,Upper_CI,6.395290838
Aberdeen City,2001-03,Female,90 and over,Estimate,4.551622419
Aberdeen City,2001-03,Female,90 and over,Lower_CI,4.209006567
Aberdeen City,2001-03,Female,90 and over,Upper_CI,4.89423827
Aberdeenshire,2001-03,Male,0,Estimate,76.12589791
Aberdeenshire,2001-03,Male,0,Lower_CI,75.6451626
Aberdeenshire,2001-03,Male,0,Upper_CI,76.60663322
Aberdeenshire,2001-03,Male,1 to 4,Estimate,75.44717935
Aberdeenshire,2001-03,Male,1 to 4,Lower_CI,74.99273864
Aberdeenshire,2001-03,Male,1 to 4,Upper_CI,75.90162005
Aberdeenshire,2001-03,Male,5 to 9,Estimate,71.50118132
Aberdeenshire,2001-03,Male,5 to 9,Lower_CI,71.0505339
Aberdeenshire,2001-03,Male,5 to 9,Upper_CI,71.95182874
Aberdeenshire,2001-03,Male,10 to 14,Estimate,66.51611761
Aberdeenshire,2001-03,Male,10 to 14,Lower_CI,66.06632454
Aberdeenshire,2001-03,Male,10 to 14,Upper_CI,66.96591068
Aberdeenshire,2001-03,Male,15 to 19,Estimate,61.56792316
Aberdeenshire,2001-03,Male,15 to 19,Lower_CI,61.12064051
Aberdeenshire,2001-03,Male,15 to 19,Upper_CI,62.0152058
Aberdeenshire,2001-03,Male,20 to 24,Estimate,56.89407067
Aberdeenshire,2001-03,Male,20 to 24,Lower_CI,56.46297747
Aberdeenshire,2001-03,Male,20 to 24,Upper_CI,57.32516386
Aberdeenshire,2001-03,Male,25 to 29,Estimate,52.3164942
Aberdeenshire,2001-03,Male,25 to 29,Lower_CI,51.91257228
Aberdeenshire,2001-03,Male,25 to 29,Upper_CI,52.72041613
Aberdeenshire,2001-03,Male,30 to 34,Estimate,47.64898704
Aberdeenshire,2001-03,Male,30 to 34,Lower_CI,47.267012
Aberdeenshire,2001-03,Male,30 to 34,Upper_CI,48.03096207
Aberdeenshire,2001-03,Male,35 to 39,Estimate,42.98125231
Aberdeenshire,2001-03,Male,35 to 39,Lower_CI,42.61315636
Aberdeenshire,2001-03,Male,35 to 39,Upper_CI,43.34934825
Aberdeenshire,2001-03,Male,40 to 44,Estimate,38.21369445
Aberdeenshire,2001-03,Male,40 to 44,Lower_CI,37.85240283
Aberdeenshire,2001-03,Male,40 to 44,Upper_CI,38.57498608
Aberdeenshire,2001-03,Male,45 to 49,Estimate,33.54744331
Aberdeenshire,2001-03,Male,45 to 49,Lower_CI,33.19434732
Aberdeenshire,2001-03,Male,45 to 49,Upper_CI,33.9005393
Aberdeenshire,2001-03,Male,50 to 54,Estimate,28.90638667
Aberdeenshire,2001-03,Male,50 to 54,Lower_CI,28.56069773
Aberdeenshire,2001-03,Male,50 to 54,Upper_CI,29.25207561
Aberdeenshire,2001-03,Male,55 to 59,Estimate,24.5083331
Aberdeenshire,2001-03,Male,55 to 59,Lower_CI,24.17195982
Aberdeenshire,2001-03,Male,55 to 59,Upper_CI,24.84470638
Aberdeenshire,2001-03,Male,60 to 64,Estimate,20.22693664
Aberdeenshire,2001-03,Male,60 to 64,Lower_CI,19.90025517
Aberdeenshire,2001-03,Male,60 to 64,Upper_CI,20.5536181
Aberdeenshire,2001-03,Male,65 to 69,Estimate,16.27499522
Aberdeenshire,2001-03,Male,65 to 69,Lower_CI,15.96313833
Aberdeenshire,2001-03,Male,65 to 69,Upper_CI,16.58685211
Aberdeenshire,2001-03,Male,70 to 74,Estimate,12.71755936
Aberdeenshire,2001-03,Male,70 to 74,Lower_CI,12.42051147
Aberdeenshire,2001-03,Male,70 to 74,Upper_CI,13.01460724
Aberdeenshire,2001-03,Male,75 to 79,Estimate,9.789246171
Aberdeenshire,2001-03,Male,75 to 79,Lower_CI,9.504665713
Aberdeenshire,2001-03,Male,75 to 79,Upper_CI,10.07382663
Aberdeenshire,2001-03,Male,80 to 84,Estimate,7.26906163
Aberdeenshire,2001-03,Male,80 to 84,Lower_CI,6.984261259
Aberdeenshire,2001-03,Male,80 to 84,Upper_CI,7.553862001
