Council area,Year,Council Tax band,Number,,,,,,,,
Midlothian,2019,A,978,,,,,,,,
Midlothian,2019,B,12548,,,,,,,,
Midlothian,2019,C,11033,,,,,,,,
Midlothian,2019,D,5585,,,,,,,,
Midlothian,2019,E,5013,,,,,,,,
Midlothian,2019,F,3710,,,,,,,,
Midlothian,2019,G,2377,,,,,,,,
Midlothian,2019,H,177,,,,,,,,
Moray,2019,A,11987,,,,,,,,
Moray,2019,B,10525,,,,,,,,
Moray,2019,C,7069,,,,,,,,
Moray,2019,D,6612,,,,,,,,
Moray,2019,E,6333,,,,,,,,
Moray,2019,F,2375,,,,,,,,
Moray,2019,G,699,,,,,,,,
Moray,2019,H,107,,,,,,,,
Na h-Eileanan Siar,2019,A,4774,,,,,,,,
Na h-Eileanan Siar,2019,B,3840,,,,,,,,
Na h-Eileanan Siar,2019,C,2818,,,,,,,,
Na h-Eileanan Siar,2019,D,1784,,,,,,,,
Na h-Eileanan Siar,2019,E,1298,,,,,,,,
Na h-Eileanan Siar,2019,F,191,,,,,,,,
Na h-Eileanan Siar,2019,G,32,,,,,,,,
Na h-Eileanan Siar,2019,H,5,,,,,,,,
North Ayrshire,2019,A,21704,,,,,,,,
North Ayrshire,2019,B,18478,,,,,,,,
North Ayrshire,2019,C,7188,,,,,,,,
North Ayrshire,2019,D,7013,,,,,,,,
North Ayrshire,2019,E,8964,,,,,,,,
North Ayrshire,2019,F,4018,,,,,,,,
North Ayrshire,2019,G,1211,,,,,,,,
North Ayrshire,2019,H,58,,,,,,,,
North Lanarkshire,2019,A,53221,,,,,,,,
North Lanarkshire,2019,B,37618,,,,,,,,
North Lanarkshire,2019,C,19668,,,,,,,,
North Lanarkshire,2019,D,17154,,,,,,,,
North Lanarkshire,2019,E,16748,,,,,,,,
North Lanarkshire,2019,F,9462,,,,,,,,
North Lanarkshire,2019,G,3014,,,,,,,,
North Lanarkshire,2019,H,154,,,,,,,,
Orkney Islands,2019,A,2381,,,,,,,,
Orkney Islands,2019,B,2894,,,,,,,,
Orkney Islands,2019,C,2387,,,,,,,,
Orkney Islands,2019,D,1872,,,,,,,,
Orkney Islands,2019,E,1441,,,,,,,,
Orkney Islands,2019,F,342,,,,,,,,
Orkney Islands,2019,G,23,,,,,,,,
Orkney Islands,2019,H,5,,,,,,,,
Perth and Kinross,2019,A,8758,,,,,,,,
Perth and Kinross,2019,B,14882,,,,,,,,
Perth and Kinross,2019,C,12442,,,,,,,,
Perth and Kinross,2019,D,10939,,,,,,,,
Perth and Kinross,2019,E,11737,,,,,,,,
Perth and Kinross,2019,F,7749,,,,,,,,
Perth and Kinross,2019,G,6280,,,,,,,,
Perth and Kinross,2019,H,686,,,,,,,,
Renfrewshire,2019,A,13518,,,,,,,,
Renfrewshire,2019,B,25785,,,,,,,,
Renfrewshire,2019,C,14808,,,,,,,,
Renfrewshire,2019,D,12537,,,,,,,,
Renfrewshire,2019,E,11140,,,,,,,,
Renfrewshire,2019,F,6426,,,,,,,,
Renfrewshire,2019,G,3876,,,,,,,,
Renfrewshire,2019,H,225,,,,,,,,
Scotland,2019,A,549780,,,,,,,,
Scotland,2019,B,603142,,,,,,,,
Scotland,2019,C,426124,,,,,,,,
Scotland,2019,D,357944,,,,,,,,
Scotland,2019,E,355916,,,,,,,,
Scotland,2019,F,206859,,,,,,,,
Scotland,2019,G,131999,,,,,,,,
Scotland,2019,H,14186,,,,,,,,
Scottish Borders,2019,A,16507,,,,,,,,
Scottish Borders,2019,B,12750,,,,,,,,
Scottish Borders,2019,C,7101,,,,,,,,
Scottish Borders,2019,D,6048,,,,,,,,
Scottish Borders,2019,E,6486,,,,,,,,
Scottish Borders,2019,F,4890,,,,,,,,
Scottish Borders,2019,G,4535,,,,,,,,
Scottish Borders,2019,H,477,,,,,,,,
Shetland Islands,2019,A,2967,,,,,,,,
Shetland Islands,2019,B,1847,,,,,,,,
Shetland Islands,2019,C,2837,,,,,,,,
Shetland Islands,2019,D,1877,,,,,,,,
Shetland Islands,2019,E,1462,,,,,,,,
Shetland Islands,2019,F,300,,,,,,,,
Shetland Islands,2019,G,68,,,,,,,,
Shetland Islands,2019,H,2,,,,,,,,
South Ayrshire,2019,A,7201,,,,,,,,
South Ayrshire,2019,B,12738,,,,,,,,
South Ayrshire,2019,C,8953,,,,,,,,
South Ayrshire,2019,D,8412,,,,,,,,
South Ayrshire,2019,E,9716,,,,,,,,
South Ayrshire,2019,F,5154,,,,,,,,
South Ayrshire,2019,G,3255,,,,,,,,
South Ayrshire,2019,H,301,,,,,,,,
South Lanarkshire,2019,A,36333,,,,,,,,
South Lanarkshire,2019,B,30525,,,,,,,,
South Lanarkshire,2019,C,26192,,,,,,,,
South Lanarkshire,2019,D,21101,,,,,,,,
South Lanarkshire,2019,E,19766,,,,,,,,
South Lanarkshire,2019,F,12538,,,,,,,,
South Lanarkshire,2019,G,6503,,,,,,,,
South Lanarkshire,2019,H,561,,,,,,,,
Stirling,2019,A,5859,,,,,,,,
Stirling,2019,B,8756,,,,,,,,
Stirling,2019,C,4629,,,,,,,,
Stirling,2019,D,4899,,,,,,,,
Stirling,2019,E,6433,,,,,,,,
Stirling,2019,F,5287,,,,,,,,
Stirling,2019,G,5324,,,,,,,,
Stirling,2019,H,720,,,,,,,,
West Dunbartonshire,2019,A,7570,,,,,,,,
West Dunbartonshire,2019,B,16847,,,,,,,,
West Dunbartonshire,2019,C,7508,,,,,,,,
West Dunbartonshire,2019,D,5937,,,,,,,,
West Dunbartonshire,2019,E,4639,,,,,,,,
West Dunbartonshire,2019,F,1693,,,,,,,,
West Dunbartonshire,2019,G,809,,,,,,,,
West Dunbartonshire,2019,H,66,,,,,,,,
West Lothian,2019,A,17706,,,,,,,,
West Lothian,2019,B,25001,,,,,,,,
West Lothian,2019,C,10301,,,,,,,,
West Lothian,2019,D,8685,,,,,,,,
West Lothian,2019,E,10012,,,,,,,,
West Lothian,2019,F,6348,,,,,,,,
West Lothian,2019,G,2832,,,,,,,,
