Council area,Year,Type,Number,,,,,,,
North Lanarkshire,2017,Flat,50046,,,,,,,
North Lanarkshire,2017,Not known,192,,,,,,,
North Lanarkshire,2017,Semi-detached,31424,,,,,,,
North Lanarkshire,2017,Terrace,47308,,,,,,,
North Lanarkshire,2017,Total,154449,,,,,,,
Orkney Islands,2017,Detached,6719,,,,,,,
Orkney Islands,2017,Flat,775,,,,,,,
Orkney Islands,2017,Not known,15,,,,,,,
Orkney Islands,2017,Semi-detached,2478,,,,,,,
Orkney Islands,2017,Terrace,1241,,,,,,,
Orkney Islands,2017,Total,11228,,,,,,,
Perth and Kinross,2017,Detached,27307,,,,,,,
Perth and Kinross,2017,Flat,18048,,,,,,,
Perth and Kinross,2017,Not known,804,,,,,,,
Perth and Kinross,2017,Semi-detached,14858,,,,,,,
Perth and Kinross,2017,Terrace,11062,,,,,,,
Perth and Kinross,2017,Total,72079,,,,,,,
Renfrewshire,2017,Detached,12863,,,,,,,
Renfrewshire,2017,Flat,37620,,,,,,,
Renfrewshire,2017,Not known,268,,,,,,,
Renfrewshire,2017,Semi-detached,16404,,,,,,,
Renfrewshire,2017,Terrace,19546,,,,,,,
Renfrewshire,2017,Total,86701,,,,,,,
Scotland,2017,Detached,558911,,,,,,,
Scotland,2017,Flat,980290,,,,,,,
Scotland,2017,Not known,19427,,,,,,,
Scotland,2017,Semi-detached,511583,,,,,,,
Scotland,2017,Terrace,532963,,,,,,,
Scotland,2017,Total,2603174,,,,,,,
Scottish Borders,2017,Detached,16709,,,,,,,
Scottish Borders,2017,Flat,16163,,,,,,,
Scottish Borders,2017,Not known,655,,,,,,,
Scottish Borders,2017,Semi-detached,11975,,,,,,,
Scottish Borders,2017,Terrace,12724,,,,,,,
Scottish Borders,2017,Total,58226,,,,,,,
Shetland Islands,2017,Detached,6465,,,,,,,
Shetland Islands,2017,Flat,1005,,,,,,,
Shetland Islands,2017,Not known,0,,,,,,,
Shetland Islands,2017,Semi-detached,2928,,,,,,,
Shetland Islands,2017,Terrace,826,,,,,,,
Shetland Islands,2017,Total,11224,,,,,,,
South Ayrshire,2017,Detached,14179,,,,,,,
South Ayrshire,2017,Flat,15048,,,,,,,
