Council area,Registration Year,Sex,Number of civil partnerships
Midlothian,2006,Male,2
Moray,2006,Male,6
Na h-Eileanan Siar,2006,Male,0
North Ayrshire,2006,Male,12
North Lanarkshire,2006,Male,8
Orkney Islands,2006,Male,1
Perth and Kinross,2006,Male,15
Renfrewshire,2006,Male,3
Scotland,2006,Male,578
Scottish Borders,2006,Male,12
Shetland Islands,2006,Male,0
South Ayrshire,2006,Male,7
South Lanarkshire,2006,Male,6
Stirling,2006,Male,11
West Dunbartonshire,2006,Male,2
West Lothian,2006,Male,5
Aberdeen City,2007,All,26
Aberdeenshire,2007,All,16
Angus,2007,All,8
Argyll and Bute,2007,All,14
City of Edinburgh,2007,All,190
Clackmannanshire,2007,All,0
Dumfries and Galloway,2007,All,49
Dundee City,2007,All,15
East Ayrshire,2007,All,2
East Dunbartonshire,2007,All,9
East Lothian,2007,All,10
East Renfrewshire,2007,All,4
Falkirk,2007,All,6
Fife,2007,All,38
Glasgow City,2007,All,152
Highland,2007,All,18
Inverclyde,2007,All,4
Midlothian,2007,All,7
Moray,2007,All,6
Na h-Eileanan Siar,2007,All,0
North Ayrshire,2007,All,13
North Lanarkshire,2007,All,4
Orkney Islands,2007,All,0
Perth and Kinross,2007,All,14
Renfrewshire,2007,All,7
Scotland,2007,All,688
Scottish Borders,2007,All,17
Shetland Islands,2007,All,0
South Ayrshire,2007,All,15
South Lanarkshire,2007,All,13
Stirling,2007,All,13
West Dunbartonshire,2007,All,8
West Lothian,2007,All,10
Aberdeen City,2007,Female,18
Aberdeenshire,2007,Female,7
Angus,2007,Female,3
Argyll and Bute,2007,Female,5
City of Edinburgh,2007,Female,85
Clackmannanshire,2007,Female,0
Dumfries and Galloway,2007,Female,34
Dundee City,2007,Female,8
East Ayrshire,2007,Female,1
East Dunbartonshire,2007,Female,4
East Lothian,2007,Female,5
East Renfrewshire,2007,Female,3
Falkirk,2007,Female,2
Fife,2007,Female,24
Glasgow City,2007,Female,64
Highland,2007,Female,15
Inverclyde,2007,Female,3
Midlothian,2007,Female,3
Moray,2007,Female,1
Na h-Eileanan Siar,2007,Female,0
North Ayrshire,2007,Female,8
North Lanarkshire,2007,Female,2
Orkney Islands,2007,Female,0
Perth and Kinross,2007,Female,8
Renfrewshire,2007,Female,3
Scotland,2007,Female,348
Scottish Borders,2007,Female,10
Shetland Islands,2007,Female,0
South Ayrshire,2007,Female,6
South Lanarkshire,2007,Female,9
Stirling,2007,Female,8
West Dunbartonshire,2007,Female,2
West Lothian,2007,Female,7
Aberdeen City,2007,Male,8
Aberdeenshire,2007,Male,9
Angus,2007,Male,5
Argyll and Bute,2007,Male,9
City of Edinburgh,2007,Male,105
Clackmannanshire,2007,Male,0
Dumfries and Galloway,2007,Male,15
Dundee City,2007,Male,7
East Ayrshire,2007,Male,1
East Dunbartonshire,2007,Male,5
East Lothian,2007,Male,5
East Renfrewshire,2007,Male,1
Falkirk,2007,Male,4
Fife,2007,Male,14
Glasgow City,2007,Male,88
Highland,2007,Male,3
Inverclyde,2007,Male,1
Midlothian,2007,Male,4
Moray,2007,Male,5
Na h-Eileanan Siar,2007,Male,0
North Ayrshire,2007,Male,5
North Lanarkshire,2007,Male,2
Orkney Islands,2007,Male,0
Perth and Kinross,2007,Male,6
Renfrewshire,2007,Male,4
Scotland,2007,Male,340
Scottish Borders,2007,Male,7
Shetland Islands,2007,Male,0
South Ayrshire,2007,Male,9
South Lanarkshire,2007,Male,4
Stirling,2007,Male,5
West Dunbartonshire,2007,Male,6
West Lothian,2007,Male,3
Aberdeen City,2008,All,11
Aberdeenshire,2008,All,9
Angus,2008,All,7
Argyll and Bute,2008,All,11
City of Edinburgh,2008,All,134
Clackmannanshire,2008,All,5
Dumfries and Galloway,2008,All,65
Dundee City,2008,All,11
East Ayrshire,2008,All,3
East Dunbartonshire,2008,All,6
East Lothian,2008,All,7
East Renfrewshire,2008,All,6
Falkirk,2008,All,14
Fife,2008,All,18
Glasgow City,2008,All,119
Highland,2008,All,14
Inverclyde,2008,All,1
Midlothian,2008,All,4
Moray,2008,All,5
Na h-Eileanan Siar,2008,All,0
North Ayrshire,2008,All,7
North Lanarkshire,2008,All,4
Orkney Islands,2008,All,2
