Council area,Registration Year,Sex,Number of civil partnerships
Glasgow City,2014,All,75
Highland,2014,All,11
Inverclyde,2014,All,1
Midlothian,2014,All,6
Moray,2014,All,4
Na h-Eileanan Siar,2014,All,0
North Ayrshire,2014,All,8
North Lanarkshire,2014,All,10
Orkney Islands,2014,All,0
Perth and Kinross,2014,All,13
Renfrewshire,2014,All,13
Scotland,2014,All,436
Scottish Borders,2014,All,1
Shetland Islands,2014,All,0
South Ayrshire,2014,All,5
South Lanarkshire,2014,All,11
Stirling,2014,All,9
West Dunbartonshire,2014,All,5
West Lothian,2014,All,10
Aberdeen City,2014,Female,8
Aberdeenshire,2014,Female,3
Angus,2014,Female,1
Argyll and Bute,2014,Female,8
City of Edinburgh,2014,Female,39
Clackmannanshire,2014,Female,4
Dumfries and Galloway,2014,Female,35
Dundee City,2014,Female,5
East Ayrshire,2014,Female,4
East Dunbartonshire,2014,Female,1
East Lothian,2014,Female,7
East Renfrewshire,2014,Female,0
Falkirk,2014,Female,5
Fife,2014,Female,16
Glasgow City,2014,Female,40
Highland,2014,Female,5
Inverclyde,2014,Female,1
Midlothian,2014,Female,2
Moray,2014,Female,2
Na h-Eileanan Siar,2014,Female,0
North Ayrshire,2014,Female,5
North Lanarkshire,2014,Female,7
Orkney Islands,2014,Female,0
Perth and Kinross,2014,Female,7
Renfrewshire,2014,Female,8
Scotland,2014,Female,243
Scottish Borders,2014,Female,1
Shetland Islands,2014,Female,0
South Ayrshire,2014,Female,3
South Lanarkshire,2014,Female,8
Stirling,2014,Female,5
West Dunbartonshire,2014,Female,4
West Lothian,2014,Female,9
Aberdeen City,2014,Male,7
Aberdeenshire,2014,Male,1
Angus,2014,Male,2
Argyll and Bute,2014,Male,3
City of Edinburgh,2014,Male,64
Clackmannanshire,2014,Male,2
Dumfries and Galloway,2014,Male,18
Dundee City,2014,Male,3
East Ayrshire,2014,Male,4
East Dunbartonshire,2014,Male,2
East Lothian,2014,Male,1
East Renfrewshire,2014,Male,1
Falkirk,2014,Male,3
Fife,2014,Male,7
Glasgow City,2014,Male,35
Highland,2014,Male,6
Inverclyde,2014,Male,0
Midlothian,2014,Male,4
Moray,2014,Male,2
Na h-Eileanan Siar,2014,Male,0
North Ayrshire,2014,Male,3
North Lanarkshire,2014,Male,3
Orkney Islands,2014,Male,0
Perth and Kinross,2014,Male,6
Renfrewshire,2014,Male,5
Scotland,2014,Male,193
Scottish Borders,2014,Male,0
Shetland Islands,2014,Male,0
South Ayrshire,2014,Male,2
South Lanarkshire,2014,Male,3
Stirling,2014,Male,4
West Dunbartonshire,2014,Male,1
West Lothian,2014,Male,1
Aberdeen City,2015,All,0
Aberdeenshire,2015,All,1
Angus,2015,All,0
Argyll and Bute,2015,All,1
City of Edinburgh,2015,All,15
Clackmannanshire,2015,All,1
Dumfries and Galloway,2015,All,8
Dundee City,2015,All,0
East Ayrshire,2015,All,0
East Dunbartonshire,2015,All,0
East Lothian,2015,All,1
East Renfrewshire,2015,All,1
Falkirk,2015,All,0
Fife,2015,All,3
Glasgow City,2015,All,13
Highland,2015,All,4
Inverclyde,2015,All,0
Midlothian,2015,All,0
Moray,2015,All,2
Na h-Eileanan Siar,2015,All,0
North Ayrshire,2015,All,1
North Lanarkshire,2015,All,1
Orkney Islands,2015,All,1
Perth and Kinross,2015,All,3
Renfrewshire,2015,All,1
Scotland,2015,All,64
Scottish Borders,2015,All,1
Shetland Islands,2015,All,0
South Ayrshire,2015,All,2
South Lanarkshire,2015,All,1
Stirling,2015,All,1
West Dunbartonshire,2015,All,0
West Lothian,2015,All,2
Aberdeen City,2015,Female,0
Aberdeenshire,2015,Female,1
Angus,2015,Female,0
Argyll and Bute,2015,Female,1
City of Edinburgh,2015,Female,4
Clackmannanshire,2015,Female,0
Dumfries and Galloway,2015,Female,5
Dundee City,2015,Female,0
East Ayrshire,2015,Female,0
East Dunbartonshire,2015,Female,0
East Lothian,2015,Female,1
East Renfrewshire,2015,Female,1
Falkirk,2015,Female,0
Fife,2015,Female,3
Glasgow City,2015,Female,4
Highland,2015,Female,1
Inverclyde,2015,Female,0
Midlothian,2015,Female,0
Moray,2015,Female,2
Na h-Eileanan Siar,2015,Female,0
North Ayrshire,2015,Female,0
North Lanarkshire,2015,Female,0
Orkney Islands,2015,Female,1
Perth and Kinross,2015,Female,3
Renfrewshire,2015,Female,0
Scotland,2015,Female,31
Scottish Borders,2015,Female,0
Shetland Islands,2015,Female,0
South Ayrshire,2015,Female,1
South Lanarkshire,2015,Female,1
Stirling,2015,Female,1
West Dunbartonshire,2015,Female,0
West Lothian,2015,Female,1
Aberdeen City,2015,Male,0
Aberdeenshire,2015,Male,0
Angus,2015,Male,0
Argyll and Bute,2015,Male,0
City of Edinburgh,2015,Male,11
Clackmannanshire,2015,Male,1
Dumfries and Galloway,2015,Male,3
Dundee City,2015,Male,0
East Ayrshire,2015,Male,0
East Dunbartonshire,2015,Male,0
East Lothian,2015,Male,0
East Renfrewshire,2015,Male,0
Falkirk,2015,Male,0
Fife,2015,Male,0
Glasgow City,2015,Male,9
Highland,2015,Male,3
Inverclyde,2015,Male,0
Midlothian,2015,Male,0
Moray,2015,Male,0
Na h-Eileanan Siar,2015,Male,0
North Ayrshire,2015,Male,1
North Lanarkshire,2015,Male,1
Orkney Islands,2015,Male,0
Perth and Kinross,2015,Male,0
Renfrewshire,2015,Male,1
Scotland,2015,Male,33
Scottish Borders,2015,Male,1
Shetland Islands,2015,Male,0
South Ayrshire,2015,Male,1
South Lanarkshire,2015,Male,0
Stirling,2015,Male,0
West Dunbartonshire,2015,Male,0
West Lothian,2015,Male,1
Aberdeen City,2016,All,2
Aberdeenshire,2016,All,0
Angus,2016,All,0
Argyll and Bute,2016,All,0
City of Edinburgh,2016,All,21
Clackmannanshire,2016,All,1
Dumfries and Galloway,2016,All,13
Dundee City,2016,All,3
East Ayrshire,2016,All,0
East Dunbartonshire,2016,All,0
East Lothian,2016,All,1
East Renfrewshire,2016,All,0
Falkirk,2016,All,2
Fife,2016,All,1
Glasgow City,2016,All,15
Highland,2016,All,0
Inverclyde,2016,All,0
Midlothian,2016,All,0
Moray,2016,All,2
Na h-Eileanan Siar,2016,All,0
North Ayrshire,2016,All,2
North Lanarkshire,2016,All,2
Orkney Islands,2016,All,0
Perth and Kinross,2016,All,1
Renfrewshire,2016,All,1
Scotland,2016,All,70
Scottish Borders,2016,All,1
Shetland Islands,2016,All,0
South Ayrshire,2016,All,1
South Lanarkshire,2016,All,1
Stirling,2016,All,0
West Dunbartonshire,2016,All,0
West Lothian,2016,All,0
Aberdeen City,2016,Female,0
Aberdeenshire,2016,Female,0
Angus,2016,Female,0
Argyll and Bute,2016,Female,0
City of Edinburgh,2016,Female,4
Clackmannanshire,2016,Female,0
Dumfries and Galloway,2016,Female,5
Dundee City,2016,Female,1
East Ayrshire,2016,Female,0
East Dunbartonshire,2016,Female,0
East Lothian,2016,Female,1
East Renfrewshire,2016,Female,0
Falkirk,2016,Female,1
Fife,2016,Female,1
Glasgow City,2016,Female,9
Highland,2016,Female,0
Inverclyde,2016,Female,0
Midlothian,2016,Female,0
Moray,2016,Female,0
Na h-Eileanan Siar,2016,Female,0
North Ayrshire,2016,Female,2
North Lanarkshire,2016,Female,2
Orkney Islands,2016,Female,0
Perth and Kinross,2016,Female,1
Renfrewshire,2016,Female,0
Scotland,2016,Female,28
Scottish Borders,2016,Female,0
Shetland Islands,2016,Female,0
South Ayrshire,2016,Female,0
South Lanarkshire,2016,Female,1
Stirling,2016,Female,0
West Dunbartonshire,2016,Female,0
West Lothian,2016,Female,0
Aberdeen City,2016,Male,2
Aberdeenshire,2016,Male,0
Angus,2016,Male,0
Argyll and Bute,2016,Male,0
City of Edinburgh,2016,Male,17
Clackmannanshire,2016,Male,1
Dumfries and Galloway,2016,Male,8
Dundee City,2016,Male,2
East Ayrshire,2016,Male,0
East Dunbartonshire,2016,Male,0
East Lothian,2016,Male,0
East Renfrewshire,2016,Male,0
Falkirk,2016,Male,1
Fife,2016,Male,0
Glasgow City,2016,Male,6
Highland,2016,Male,0
Inverclyde,2016,Male,0
Midlothian,2016,Male,0
Moray,2016,Male,2
Na h-Eileanan Siar,2016,Male,0
North Ayrshire,2016,Male,0
North Lanarkshire,2016,Male,0
Orkney Islands,2016,Male,0
Perth and Kinross,2016,Male,0
Renfrewshire,2016,Male,1
Scotland,2016,Male,42
Scottish Borders,2016,Male,1
Shetland Islands,2016,Male,0
South Ayrshire,2016,Male,1
South Lanarkshire,2016,Male,0
Stirling,2016,Male,0
West Dunbartonshire,2016,Male,0
West Lothian,2016,Male,0
Aberdeen City,2017,All,0
Aberdeenshire,2017,All,0
Angus,2017,All,1
Argyll and Bute,2017,All,3
City of Edinburgh,2017,All,21
Clackmannanshire,2017,All,0
Dumfries and Galloway,2017,All,10
Dundee City,2017,All,2
East Ayrshire,2017,All,0
East Dunbartonshire,2017,All,3
East Lothian,2017,All,1
East Renfrewshire,2017,All,0
Falkirk,2017,All,0
Fife,2017,All,1
Glasgow City,2017,All,15
Highland,2017,All,0
Inverclyde,2017,All,0
Midlothian,2017,All,0
Moray,2017,All,1
Na h-Eileanan Siar,2017,All,0
North Ayrshire,2017,All,2
North Lanarkshire,2017,All,1
Orkney Islands,2017,All,0
Perth and Kinross,2017,All,0
Renfrewshire,2017,All,1
Scotland,2017,All,70
Scottish Borders,2017,All,1
Shetland Islands,2017,All,0
South Ayrshire,2017,All,2
South Lanarkshire,2017,All,2
Stirling,2017,All,3
West Dunbartonshire,2017,All,0
West Lothian,2017,All,0
Aberdeen City,2017,Female,0
Aberdeenshire,2017,Female,0
Angus,2017,Female,1
Argyll and Bute,2017,Female,3
City of Edinburgh,2017,Female,3
Clackmannanshire,2017,Female,0
Dumfries and Galloway,2017,Female,7
Dundee City,2017,Female,0
East Ayrshire,2017,Female,0
East Dunbartonshire,2017,Female,1
East Lothian,2017,Female,0
East Renfrewshire,2017,Female,0
Falkirk,2017,Female,0
Fife,2017,Female,0
Glasgow City,2017,Female,6
Highland,2017,Female,0
Inverclyde,2017,Female,0
Midlothian,2017,Female,0
Moray,2017,Female,0
Na h-Eileanan Siar,2017,Female,0
North Ayrshire,2017,Female,1
North Lanarkshire,2017,Female,1
Orkney Islands,2017,Female,0
Perth and Kinross,2017,Female,0
Renfrewshire,2017,Female,1
Scotland,2017,Female,29
Scottish Borders,2017,Female,1
Shetland Islands,2017,Female,0
South Ayrshire,2017,Female,1
South Lanarkshire,2017,Female,2
Stirling,2017,Female,1
West Dunbartonshire,2017,Female,0
West Lothian,2017,Female,0
Aberdeen City,2017,Male,0
Aberdeenshire,2017,Male,0
Angus,2017,Male,0
Argyll and Bute,2017,Male,0
City of Edinburgh,2017,Male,18
Clackmannanshire,2017,Male,0
Dumfries and Galloway,2017,Male,3
Dundee City,2017,Male,2
East Ayrshire,2017,Male,0
East Dunbartonshire,2017,Male,2
East Lothian,2017,Male,1
East Renfrewshire,2017,Male,0
Falkirk,2017,Male,0
Fife,2017,Male,1
Glasgow City,2017,Male,9
Highland,2017,Male,0
Inverclyde,2017,Male,0
Midlothian,2017,Male,0
Moray,2017,Male,1
Na h-Eileanan Siar,2017,Male,0
North Ayrshire,2017,Male,1
North Lanarkshire,2017,Male,0
Orkney Islands,2017,Male,0
Perth and Kinross,2017,Male,0
Renfrewshire,2017,Male,0
Scotland,2017,Male,41
Scottish Borders,2017,Male,0
Shetland Islands,2017,Male,0
South Ayrshire,2017,Male,1
South Lanarkshire,2017,Male,0
Stirling,2017,Male,2
West Dunbartonshire,2017,Male,0
West Lothian,2017,Male,0
Aberdeen City,2018,All,2
Aberdeenshire,2018,All,1
Angus,2018,All,0
Argyll and Bute,2018,All,1
City of Edinburgh,2018,All,22
Clackmannanshire,2018,All,0
Dumfries and Galloway,2018,All,8
Dundee City,2018,All,3
East Ayrshire,2018,All,0
East Dunbartonshire,2018,All,2
East Lothian,2018,All,0
East Renfrewshire,2018,All,2
Falkirk,2018,All,0
Fife,2018,All,1
Glasgow City,2018,All,11
Highland,2018,All,1
Inverclyde,2018,All,0
Midlothian,2018,All,2
Moray,2018,All,0
Na h-Eileanan Siar,2018,All,0
North Ayrshire,2018,All,0
North Lanarkshire,2018,All,1
Orkney Islands,2018,All,0
Perth and Kinross,2018,All,4
Renfrewshire,2018,All,1
Scotland,2018,All,65
Scottish Borders,2018,All,1
Shetland Islands,2018,All,0
South Ayrshire,2018,All,0
South Lanarkshire,2018,All,1
Stirling,2018,All,0
West Dunbartonshire,2018,All,1
West Lothian,2018,All,0
Aberdeen City,2018,Female,0
Aberdeenshire,2018,Female,0
Angus,2018,Female,0
Argyll and Bute,2018,Female,1
City of Edinburgh,2018,Female,9
Clackmannanshire,2018,Female,0
Dumfries and Galloway,2018,Female,3
Dundee City,2018,Female,2
East Ayrshire,2018,Female,0
East Dunbartonshire,2018,Female,2
East Lothian,2018,Female,0
East Renfrewshire,2018,Female,0
Falkirk,2018,Female,0
Fife,2018,Female,1
Glasgow City,2018,Female,2
Highland,2018,Female,1
Inverclyde,2018,Female,0
Midlothian,2018,Female,0
Moray,2018,Female,0
Na h-Eileanan Siar,2018,Female,0
North Ayrshire,2018,Female,0
North Lanarkshire,2018,Female,1
Orkney Islands,2018,Female,0
Perth and Kinross,2018,Female,2
Renfrewshire,2018,Female,1
Scotland,2018,Female,27
Scottish Borders,2018,Female,1
Shetland Islands,2018,Female,0
South Ayrshire,2018,Female,0
South Lanarkshire,2018,Female,0
Stirling,2018,Female,0
West Dunbartonshire,2018,Female,1
West Lothian,2018,Female,0
Aberdeen City,2018,Male,2
Aberdeenshire,2018,Male,1
Angus,2018,Male,0
Argyll and Bute,2018,Male,0
City of Edinburgh,2018,Male,13
Clackmannanshire,2018,Male,0
Dumfries and Galloway,2018,Male,5
Dundee City,2018,Male,1
East Ayrshire,2018,Male,0
East Dunbartonshire,2018,Male,0
East Lothian,2018,Male,0
East Renfrewshire,2018,Male,2
Falkirk,2018,Male,0
Fife,2018,Male,0
Glasgow City,2018,Male,9
Highland,2018,Male,0
Inverclyde,2018,Male,0
Midlothian,2018,Male,2
Moray,2018,Male,0
Na h-Eileanan Siar,2018,Male,0
North Ayrshire,2018,Male,0
North Lanarkshire,2018,Male,0
Orkney Islands,2018,Male,0
Perth and Kinross,2018,Male,2
Renfrewshire,2018,Male,0
Scotland,2018,Male,38
Scottish Borders,2018,Male,0
Shetland Islands,2018,Male,0
South Ayrshire,2018,Male,0
South Lanarkshire,2018,Male,1
Stirling,2018,Male,0
West Dunbartonshire,2018,Male,0
West Lothian,2018,Male,0
Aberdeen City,2019,All,5
Aberdeenshire,2019,All,1
Angus,2019,All,2
Argyll and Bute,2019,All,1
City of Edinburgh,2019,All,23
Clackmannanshire,2019,All,0
Dumfries and Galloway,2019,All,5
Dundee City,2019,All,2
East Ayrshire,2019,All,0
East Dunbartonshire,2019,All,0
East Lothian,2019,All,0
East Renfrewshire,2019,All,0
Falkirk,2019,All,1
Fife,2019,All,2
Glasgow City,2019,All,17
Highland,2019,All,6
Inverclyde,2019,All,0
Midlothian,2019,All,0
Moray,2019,All,1
Na h-Eileanan Siar,2019,All,0
North Ayrshire,2019,All,1
North Lanarkshire,2019,All,1
Orkney Islands,2019,All,0
Perth and Kinross,2019,All,3
Renfrewshire,2019,All,3
Scotland,2019,All,83
Scottish Borders,2019,All,1
Shetland Islands,2019,All,0
South Ayrshire,2019,All,1
South Lanarkshire,2019,All,2
Stirling,2019,All,2
West Dunbartonshire,2019,All,1
West Lothian,2019,All,2
Aberdeen City,2019,Female,1
Aberdeenshire,2019,Female,0
Angus,2019,Female,2
Argyll and Bute,2019,Female,1
City of Edinburgh,2019,Female,8
Clackmannanshire,2019,Female,0
Dumfries and Galloway,2019,Female,3
Dundee City,2019,Female,1
East Ayrshire,2019,Female,0
East Dunbartonshire,2019,Female,0
East Lothian,2019,Female,0
East Renfrewshire,2019,Female,0
Falkirk,2019,Female,1
Fife,2019,Female,0
Glasgow City,2019,Female,6
Highland,2019,Female,2
Inverclyde,2019,Female,0
Midlothian,2019,Female,0
Moray,2019,Female,1
Na h-Eileanan Siar,2019,Female,0
North Ayrshire,2019,Female,1
North Lanarkshire,2019,Female,0
Orkney Islands,2019,Female,0
Perth and Kinross,2019,Female,2
Renfrewshire,2019,Female,0
Scotland,2019,Female,33
Scottish Borders,2019,Female,0
Shetland Islands,2019,Female,0
South Ayrshire,2019,Female,0
South Lanarkshire,2019,Female,1
Stirling,2019,Female,1
West Dunbartonshire,2019,Female,0
West Lothian,2019,Female,2
Aberdeen City,2019,Male,4
Aberdeenshire,2019,Male,1
Angus,2019,Male,0
Argyll and Bute,2019,Male,0
City of Edinburgh,2019,Male,15
Clackmannanshire,2019,Male,0
Dumfries and Galloway,2019,Male,2
Dundee City,2019,Male,1
East Ayrshire,2019,Male,0
East Dunbartonshire,2019,Male,0
East Lothian,2019,Male,0
East Renfrewshire,2019,Male,0
Falkirk,2019,Male,0
Fife,2019,Male,2
Glasgow City,2019,Male,11
Highland,2019,Male,4
Inverclyde,2019,Male,0
Midlothian,2019,Male,0
Moray,2019,Male,0
Na h-Eileanan Siar,2019,Male,0
North Ayrshire,2019,Male,0
North Lanarkshire,2019,Male,1
Orkney Islands,2019,Male,0
Perth and Kinross,2019,Male,1
Renfrewshire,2019,Male,3
Scotland,2019,Male,50
Scottish Borders,2019,Male,1
Shetland Islands,2019,Male,0
South Ayrshire,2019,Male,1
South Lanarkshire,2019,Male,1
Stirling,2019,Male,1
West Dunbartonshire,2019,Male,1
West Lothian,2019,Male,0
,,,
© Crown Copyright 2020,,,
