Council area,Year,Sex,Type,Number
Aberdeen City,2015-16,Female,Net,-400
Aberdeen City,2015-16,Female,Out,6940
Aberdeen City,2015-16,Male,In,5760
Aberdeen City,2015-16,Male,Net,-570
Aberdeen City,2015-16,Male,Out,6330
Aberdeen City,2015-16,Persons,In,12310
Aberdeen City,2015-16,Persons,Net,-970
Aberdeen City,2015-16,Persons,Out,13270
Aberdeen City,2016-17,Female,In,5760
Aberdeen City,2016-17,Female,Net,-870
Aberdeen City,2016-17,Female,Out,6630
Aberdeen City,2016-17,Male,In,5570
Aberdeen City,2016-17,Male,Net,-550
Aberdeen City,2016-17,Male,Out,6120
Aberdeen City,2016-17,Persons,In,11330
Aberdeen City,2016-17,Persons,Net,-1420
Aberdeen City,2016-17,Persons,Out,12750
Aberdeen City,2017-18,Female,In,5470
Aberdeen City,2017-18,Female,Net,-630
Aberdeen City,2017-18,Female,Out,6100
Aberdeen City,2017-18,Male,In,5210
Aberdeen City,2017-18,Male,Net,-690
Aberdeen City,2017-18,Male,Out,5900
Aberdeen City,2017-18,Persons,In,10680
Aberdeen City,2017-18,Persons,Net,-1320
Aberdeen City,2017-18,Persons,Out,12000
Aberdeen City,2018-19,Female,In,6100
Aberdeen City,2018-19,Female,Net,370
Aberdeen City,2018-19,Female,Out,5730
Aberdeen City,2018-19,Male,In,5810
Aberdeen City,2018-19,Male,Net,440
Aberdeen City,2018-19,Male,Out,5370
Aberdeen City,2018-19,Persons,In,11910
Aberdeen City,2018-19,Persons,Net,810
Aberdeen City,2018-19,Persons,Out,11100
Aberdeenshire,2001-02,Female,In,4960
Aberdeenshire,2001-02,Female,Net,960
Aberdeenshire,2001-02,Female,Out,4000
Aberdeenshire,2001-02,Male,In,4510
Aberdeenshire,2001-02,Male,Net,730
Aberdeenshire,2001-02,Male,Out,3780
Aberdeenshire,2001-02,Persons,In,9480
Aberdeenshire,2001-02,Persons,Net,1700
Aberdeenshire,2001-02,Persons,Out,7780
Aberdeenshire,2002-03,Female,In,5180
Aberdeenshire,2002-03,Female,Net,1260
Aberdeenshire,2002-03,Female,Out,3920
Aberdeenshire,2002-03,Male,In,4770
Aberdeenshire,2002-03,Male,Net,860
Aberdeenshire,2002-03,Male,Out,3910
Aberdeenshire,2002-03,Persons,In,9940
Aberdeenshire,2002-03,Persons,Net,2120
Aberdeenshire,2002-03,Persons,Out,7820
Aberdeenshire,2003-04,Female,In,5370
Aberdeenshire,2003-04,Female,Net,1750
Aberdeenshire,2003-04,Female,Out,3620
Aberdeenshire,2003-04,Male,In,4900
Aberdeenshire,2003-04,Male,Net,1490
Aberdeenshire,2003-04,Male,Out,3420
Aberdeenshire,2003-04,Persons,In,10270
Aberdeenshire,2003-04,Persons,Net,3230
Aberdeenshire,2003-04,Persons,Out,7040
Aberdeenshire,2004-05,Female,In,5360
Aberdeenshire,2004-05,Female,Net,1390
Aberdeenshire,2004-05,Female,Out,3960
Aberdeenshire,2004-05,Male,In,4940
Aberdeenshire,2004-05,Male,Net,1390
Aberdeenshire,2004-05,Male,Out,3550
Aberdeenshire,2004-05,Persons,In,10290
Aberdeenshire,2004-05,Persons,Net,2780
Aberdeenshire,2004-05,Persons,Out,7510
Aberdeenshire,2005-06,Female,In,5250
Aberdeenshire,2005-06,Female,Net,1550
Aberdeenshire,2005-06,Female,Out,3710
Aberdeenshire,2005-06,Male,In,5030
Aberdeenshire,2005-06,Male,Net,1520
Aberdeenshire,2005-06,Male,Out,3510
Aberdeenshire,2005-06,Persons,In,10290
Aberdeenshire,2005-06,Persons,Net,3070
Aberdeenshire,2005-06,Persons,Out,7220
Aberdeenshire,2006-07,Female,In,5060
Aberdeenshire,2006-07,Female,Net,1400
Aberdeenshire,2006-07,Female,Out,3660
Aberdeenshire,2006-07,Male,In,4880
Aberdeenshire,2006-07,Male,Net,1290
Aberdeenshire,2006-07,Male,Out,3590
Aberdeenshire,2006-07,Persons,In,9930
Aberdeenshire,2006-07,Persons,Net,2680
Aberdeenshire,2006-07,Persons,Out,7250
Aberdeenshire,2007-08,Female,In,4980
Aberdeenshire,2007-08,Female,Net,930
Aberdeenshire,2007-08,Female,Out,4050
Aberdeenshire,2007-08,Male,In,4800
Aberdeenshire,2007-08,Male,Net,950
Aberdeenshire,2007-08,Male,Out,3850
Aberdeenshire,2007-08,Persons,In,9780
Aberdeenshire,2007-08,Persons,Net,1880
Aberdeenshire,2007-08,Persons,Out,7900
Aberdeenshire,2008-09,Female,In,4500
Aberdeenshire,2008-09,Female,Net,740
Aberdeenshire,2008-09,Female,Out,3760
Aberdeenshire,2008-09,Male,In,4330
Aberdeenshire,2008-09,Male,Net,770
Aberdeenshire,2008-09,Male,Out,3560
Aberdeenshire,2008-09,Persons,In,8830
Aberdeenshire,2008-09,Persons,Net,1510
Aberdeenshire,2008-09,Persons,Out,7320
Aberdeenshire,2009-10,Female,In,4690
Aberdeenshire,2009-10,Female,Net,970
Aberdeenshire,2009-10,Female,Out,3730
Aberdeenshire,2009-10,Male,In,4290
Aberdeenshire,2009-10,Male,Net,730
Aberdeenshire,2009-10,Male,Out,3560
Aberdeenshire,2009-10,Persons,In,8980
Aberdeenshire,2009-10,Persons,Net,1690
Aberdeenshire,2009-10,Persons,Out,7290
Aberdeenshire,2010-11,Female,In,4610
Aberdeenshire,2010-11,Female,Net,660
Aberdeenshire,2010-11,Female,Out,3950
Aberdeenshire,2010-11,Male,In,4220
Aberdeenshire,2010-11,Male,Net,730
Aberdeenshire,2010-11,Male,Out,3500
Aberdeenshire,2010-11,Persons,In,8840
Aberdeenshire,2010-11,Persons,Net,1380
Aberdeenshire,2010-11,Persons,Out,7450
Aberdeenshire,2011-12,Female,In,4650
Aberdeenshire,2011-12,Female,Net,600
Aberdeenshire,2011-12,Female,Out,4050
Aberdeenshire,2011-12,Male,In,4410
Aberdeenshire,2011-12,Male,Net,790
Aberdeenshire,2011-12,Male,Out,3630
Aberdeenshire,2011-12,Persons,In,9060
Aberdeenshire,2011-12,Persons,Net,1390
Aberdeenshire,2011-12,Persons,Out,7680
Aberdeenshire,2012-13,Female,In,4800
Aberdeenshire,2012-13,Female,Net,750
Aberdeenshire,2012-13,Female,Out,4050
Aberdeenshire,2012-13,Male,In,4760
Aberdeenshire,2012-13,Male,Net,920
Aberdeenshire,2012-13,Male,Out,3840
Aberdeenshire,2012-13,Persons,In,9550
Aberdeenshire,2012-13,Persons,Net,1660
Aberdeenshire,2012-13,Persons,Out,7890
Aberdeenshire,2013-14,Female,In,5280
Aberdeenshire,2013-14,Female,Net,1000
Aberdeenshire,2013-14,Female,Out,4280
Aberdeenshire,2013-14,Male,In,5060
Aberdeenshire,2013-14,Male,Net,1040
Aberdeenshire,2013-14,Male,Out,4030
Aberdeenshire,2013-14,Persons,In,10340
Aberdeenshire,2013-14,Persons,Net,2040
Aberdeenshire,2013-14,Persons,Out,8300
Aberdeenshire,2014-15,Female,In,4890
Aberdeenshire,2014-15,Female,Net,620
Aberdeenshire,2014-15,Female,Out,4280
Aberdeenshire,2014-15,Male,In,4600
Aberdeenshire,2014-15,Male,Net,370
Aberdeenshire,2014-15,Male,Out,4230
Aberdeenshire,2014-15,Persons,In,9490
Aberdeenshire,2014-15,Persons,Net,990
Aberdeenshire,2014-15,Persons,Out,8500
Aberdeenshire,2015-16,Female,In,4200
Aberdeenshire,2015-16,Female,Net,-200
Aberdeenshire,2015-16,Female,Out,4400
Aberdeenshire,2015-16,Male,In,3960
Aberdeenshire,2015-16,Male,Net,-160
Aberdeenshire,2015-16,Male,Out,4110
Aberdeenshire,2015-16,Persons,In,8160
Aberdeenshire,2015-16,Persons,Net,-350
Aberdeenshire,2015-16,Persons,Out,8510
Aberdeenshire,2016-17,Female,In,3660
Aberdeenshire,2016-17,Female,Net,-400
Aberdeenshire,2016-17,Female,Out,4060
Aberdeenshire,2016-17,Male,In,3560
Aberdeenshire,2016-17,Male,Net,-280
Aberdeenshire,2016-17,Male,Out,3850
Aberdeenshire,2016-17,Persons,In,7220
Aberdeenshire,2016-17,Persons,Net,-690
Aberdeenshire,2016-17,Persons,Out,7910
Aberdeenshire,2017-18,Female,In,3650
Aberdeenshire,2017-18,Female,Net,-320
Aberdeenshire,2017-18,Female,Out,3970
Aberdeenshire,2017-18,Male,In,3480
Aberdeenshire,2017-18,Male,Net,-290
Aberdeenshire,2017-18,Male,Out,3760
Aberdeenshire,2017-18,Persons,In,7130
Aberdeenshire,2017-18,Persons,Net,-600
Aberdeenshire,2017-18,Persons,Out,7730
Aberdeenshire,2018-19,Female,In,3710
Aberdeenshire,2018-19,Female,Net,-100
Aberdeenshire,2018-19,Female,Out,3810
Aberdeenshire,2018-19,Male,In,3540
Aberdeenshire,2018-19,Male,Net,-280
Aberdeenshire,2018-19,Male,Out,3820
Aberdeenshire,2018-19,Persons,In,7250
Aberdeenshire,2018-19,Persons,Net,-380
Aberdeenshire,2018-19,Persons,Out,7630
Angus,2001-02,Female,In,2160
Angus,2001-02,Female,Net,220
Angus,2001-02,Female,Out,1940
Angus,2001-02,Male,In,1890
Angus,2001-02,Male,Net,120
Angus,2001-02,Male,Out,1770
Angus,2001-02,Persons,In,4050
Angus,2001-02,Persons,Net,340
Angus,2001-02,Persons,Out,3710
Angus,2002-03,Female,In,2170
Angus,2002-03,Female,Net,200
Angus,2002-03,Female,Out,1970
Angus,2002-03,Male,In,1950
Angus,2002-03,Male,Net,130
Angus,2002-03,Male,Out,1820
Angus,2002-03,Persons,In,4120
Angus,2002-03,Persons,Net,330
Angus,2002-03,Persons,Out,3790
Angus,2003-04,Female,In,2460
Angus,2003-04,Female,Net,720
Angus,2003-04,Female,Out,1750
Angus,2003-04,Male,In,2300
Angus,2003-04,Male,Net,630
