Council area,Year,Sex,Type,Number
East Ayrshire,2006-07,Female,In,1880
East Ayrshire,2006-07,Female,Net,160
East Ayrshire,2006-07,Female,Out,1720
East Ayrshire,2006-07,Male,In,1790
East Ayrshire,2006-07,Male,Net,170
East Ayrshire,2006-07,Male,Out,1620
East Ayrshire,2006-07,Persons,In,3670
East Ayrshire,2006-07,Persons,Net,330
East Ayrshire,2006-07,Persons,Out,3350
East Ayrshire,2007-08,Female,In,1970
East Ayrshire,2007-08,Female,Net,300
East Ayrshire,2007-08,Female,Out,1680
East Ayrshire,2007-08,Male,In,1820
East Ayrshire,2007-08,Male,Net,250
East Ayrshire,2007-08,Male,Out,1570
East Ayrshire,2007-08,Persons,In,3790
East Ayrshire,2007-08,Persons,Net,550
East Ayrshire,2007-08,Persons,Out,3240
East Ayrshire,2008-09,Female,In,1700
East Ayrshire,2008-09,Female,Net,190
East Ayrshire,2008-09,Female,Out,1510
East Ayrshire,2008-09,Male,In,1670
East Ayrshire,2008-09,Male,Net,190
East Ayrshire,2008-09,Male,Out,1480
East Ayrshire,2008-09,Persons,In,3370
East Ayrshire,2008-09,Persons,Net,380
East Ayrshire,2008-09,Persons,Out,2990
East Ayrshire,2009-10,Female,In,1580
East Ayrshire,2009-10,Female,Net,60
East Ayrshire,2009-10,Female,Out,1520
East Ayrshire,2009-10,Male,In,1500
East Ayrshire,2009-10,Male,Net,-30
East Ayrshire,2009-10,Male,Out,1530
East Ayrshire,2009-10,Persons,In,3080
East Ayrshire,2009-10,Persons,Net,30
East Ayrshire,2009-10,Persons,Out,3050
East Ayrshire,2010-11,Female,In,1610
East Ayrshire,2010-11,Female,Net,20
East Ayrshire,2010-11,Female,Out,1590
East Ayrshire,2010-11,Male,In,1500
East Ayrshire,2010-11,Male,Net,10
East Ayrshire,2010-11,Male,Out,1490
East Ayrshire,2010-11,Persons,In,3110
East Ayrshire,2010-11,Persons,Net,30
East Ayrshire,2010-11,Persons,Out,3080
East Ayrshire,2011-12,Female,In,1570
East Ayrshire,2011-12,Female,Net,-40
East Ayrshire,2011-12,Female,Out,1610
East Ayrshire,2011-12,Male,In,1510
East Ayrshire,2011-12,Male,Net,-40
East Ayrshire,2011-12,Male,Out,1550
East Ayrshire,2011-12,Persons,In,3080
East Ayrshire,2011-12,Persons,Net,-80
East Ayrshire,2011-12,Persons,Out,3160
East Ayrshire,2012-13,Female,In,1540
East Ayrshire,2012-13,Female,Net,-40
East Ayrshire,2012-13,Female,Out,1580
East Ayrshire,2012-13,Male,In,1570
East Ayrshire,2012-13,Male,Net,-80
East Ayrshire,2012-13,Male,Out,1650
East Ayrshire,2012-13,Persons,In,3110
East Ayrshire,2012-13,Persons,Net,-120
East Ayrshire,2012-13,Persons,Out,3230
East Ayrshire,2013-14,Female,In,1610
East Ayrshire,2013-14,Female,Net,-70
East Ayrshire,2013-14,Female,Out,1670
East Ayrshire,2013-14,Male,In,1640
East Ayrshire,2013-14,Male,Net,-20
East Ayrshire,2013-14,Male,Out,1670
East Ayrshire,2013-14,Persons,In,3250
East Ayrshire,2013-14,Persons,Net,-90
East Ayrshire,2013-14,Persons,Out,3340
East Ayrshire,2014-15,Female,In,1660
East Ayrshire,2014-15,Female,Net,40
East Ayrshire,2014-15,Female,Out,1620
East Ayrshire,2014-15,Male,In,1690
East Ayrshire,2014-15,Male,Net,20
East Ayrshire,2014-15,Male,Out,1670
East Ayrshire,2014-15,Persons,In,3350
East Ayrshire,2014-15,Persons,Net,60
East Ayrshire,2014-15,Persons,Out,3290
East Ayrshire,2015-16,Female,In,1700
East Ayrshire,2015-16,Female,Net,120
East Ayrshire,2015-16,Female,Out,1570
East Ayrshire,2015-16,Male,In,1690
East Ayrshire,2015-16,Male,Net,30
East Ayrshire,2015-16,Male,Out,1660
East Ayrshire,2015-16,Persons,In,3390
East Ayrshire,2015-16,Persons,Net,150
East Ayrshire,2015-16,Persons,Out,3240
East Ayrshire,2016-17,Female,In,1670
East Ayrshire,2016-17,Female,Net,0
East Ayrshire,2016-17,Female,Out,1670
East Ayrshire,2016-17,Male,In,1680
East Ayrshire,2016-17,Male,Net,20
East Ayrshire,2016-17,Male,Out,1660
East Ayrshire,2016-17,Persons,In,3350
East Ayrshire,2016-17,Persons,Net,20
East Ayrshire,2016-17,Persons,Out,3330
East Ayrshire,2017-18,Female,In,1730
East Ayrshire,2017-18,Female,Net,190
East Ayrshire,2017-18,Female,Out,1540
East Ayrshire,2017-18,Male,In,1680
East Ayrshire,2017-18,Male,Net,40
East Ayrshire,2017-18,Male,Out,1640
East Ayrshire,2017-18,Persons,In,3410
East Ayrshire,2017-18,Persons,Net,230
East Ayrshire,2017-18,Persons,Out,3180
East Ayrshire,2018-19,Female,In,1790
East Ayrshire,2018-19,Female,Net,230
East Ayrshire,2018-19,Female,Out,1560
East Ayrshire,2018-19,Male,In,1730
East Ayrshire,2018-19,Male,Net,210
East Ayrshire,2018-19,Male,Out,1520
East Ayrshire,2018-19,Persons,In,3520
East Ayrshire,2018-19,Persons,Net,430
East Ayrshire,2018-19,Persons,Out,3090
East Dunbartonshire,2001-02,Female,In,1790
East Dunbartonshire,2001-02,Female,Net,-370
East Dunbartonshire,2001-02,Female,Out,2160
East Dunbartonshire,2001-02,Male,In,1670
East Dunbartonshire,2001-02,Male,Net,-410
East Dunbartonshire,2001-02,Male,Out,2080
East Dunbartonshire,2001-02,Persons,In,3460
East Dunbartonshire,2001-02,Persons,Net,-780
East Dunbartonshire,2001-02,Persons,Out,4240
East Dunbartonshire,2002-03,Female,In,1960
East Dunbartonshire,2002-03,Female,Net,-170
East Dunbartonshire,2002-03,Female,Out,2130
East Dunbartonshire,2002-03,Male,In,1910
East Dunbartonshire,2002-03,Male,Net,-160
East Dunbartonshire,2002-03,Male,Out,2070
East Dunbartonshire,2002-03,Persons,In,3870
East Dunbartonshire,2002-03,Persons,Net,-330
East Dunbartonshire,2002-03,Persons,Out,4200
East Dunbartonshire,2003-04,Female,In,1900
East Dunbartonshire,2003-04,Female,Net,-240
East Dunbartonshire,2003-04,Female,Out,2130
East Dunbartonshire,2003-04,Male,In,1730
East Dunbartonshire,2003-04,Male,Net,-220
East Dunbartonshire,2003-04,Male,Out,1950
East Dunbartonshire,2003-04,Persons,In,3620
East Dunbartonshire,2003-04,Persons,Net,-460
East Dunbartonshire,2003-04,Persons,Out,4080
East Dunbartonshire,2004-05,Female,In,1930
East Dunbartonshire,2004-05,Female,Net,-240
East Dunbartonshire,2004-05,Female,Out,2160
East Dunbartonshire,2004-05,Male,In,1750
East Dunbartonshire,2004-05,Male,Net,-250
East Dunbartonshire,2004-05,Male,Out,1990
East Dunbartonshire,2004-05,Persons,In,3670
East Dunbartonshire,2004-05,Persons,Net,-480
East Dunbartonshire,2004-05,Persons,Out,4160
East Dunbartonshire,2005-06,Female,In,1840
East Dunbartonshire,2005-06,Female,Net,-180
East Dunbartonshire,2005-06,Female,Out,2020
East Dunbartonshire,2005-06,Male,In,1650
East Dunbartonshire,2005-06,Male,Net,-270
East Dunbartonshire,2005-06,Male,Out,1920
East Dunbartonshire,2005-06,Persons,In,3490
East Dunbartonshire,2005-06,Persons,Net,-450
East Dunbartonshire,2005-06,Persons,Out,3940
East Dunbartonshire,2006-07,Female,In,1820
East Dunbartonshire,2006-07,Female,Net,-180
East Dunbartonshire,2006-07,Female,Out,2000
East Dunbartonshire,2006-07,Male,In,1670
East Dunbartonshire,2006-07,Male,Net,-110
East Dunbartonshire,2006-07,Male,Out,1780
East Dunbartonshire,2006-07,Persons,In,3490
East Dunbartonshire,2006-07,Persons,Net,-290
East Dunbartonshire,2006-07,Persons,Out,3780
East Dunbartonshire,2007-08,Female,In,1770
East Dunbartonshire,2007-08,Female,Net,-120
East Dunbartonshire,2007-08,Female,Out,1890
East Dunbartonshire,2007-08,Male,In,1660
East Dunbartonshire,2007-08,Male,Net,-60
East Dunbartonshire,2007-08,Male,Out,1720
East Dunbartonshire,2007-08,Persons,In,3430
East Dunbartonshire,2007-08,Persons,Net,-180
East Dunbartonshire,2007-08,Persons,Out,3610
East Dunbartonshire,2008-09,Female,In,1680
East Dunbartonshire,2008-09,Female,Net,-50
East Dunbartonshire,2008-09,Female,Out,1730
East Dunbartonshire,2008-09,Male,In,1550
East Dunbartonshire,2008-09,Male,Net,-30
East Dunbartonshire,2008-09,Male,Out,1580
East Dunbartonshire,2008-09,Persons,In,3230
East Dunbartonshire,2008-09,Persons,Net,-80
East Dunbartonshire,2008-09,Persons,Out,3310
East Dunbartonshire,2009-10,Female,In,1630
East Dunbartonshire,2009-10,Female,Net,30
East Dunbartonshire,2009-10,Female,Out,1610
East Dunbartonshire,2009-10,Male,In,1440
East Dunbartonshire,2009-10,Male,Net,-100
East Dunbartonshire,2009-10,Male,Out,1540
East Dunbartonshire,2009-10,Persons,In,3070
East Dunbartonshire,2009-10,Persons,Net,-70
East Dunbartonshire,2009-10,Persons,Out,3140
East Dunbartonshire,2010-11,Female,In,1600
East Dunbartonshire,2010-11,Female,Net,-30
East Dunbartonshire,2010-11,Female,Out,1640
East Dunbartonshire,2010-11,Male,In,1450
East Dunbartonshire,2010-11,Male,Net,-70
East Dunbartonshire,2010-11,Male,Out,1520
East Dunbartonshire,2010-11,Persons,In,3050
East Dunbartonshire,2010-11,Persons,Net,-110
East Dunbartonshire,2010-11,Persons,Out,3160
East Dunbartonshire,2011-12,Female,In,1870
East Dunbartonshire,2011-12,Female,Net,230
East Dunbartonshire,2011-12,Female,Out,1640
East Dunbartonshire,2011-12,Male,In,1560
East Dunbartonshire,2011-12,Male,Net,30
East Dunbartonshire,2011-12,Male,Out,1530
East Dunbartonshire,2011-12,Persons,In,3430
East Dunbartonshire,2011-12,Persons,Net,260
East Dunbartonshire,2011-12,Persons,Out,3170
East Dunbartonshire,2012-13,Female,In,1790
East Dunbartonshire,2012-13,Female,Net,40
East Dunbartonshire,2012-13,Female,Out,1750
East Dunbartonshire,2012-13,Male,In,1720
East Dunbartonshire,2012-13,Male,Net,50
East Dunbartonshire,2012-13,Male,Out,1680
East Dunbartonshire,2012-13,Persons,In,3510
East Dunbartonshire,2012-13,Persons,Net,90
East Dunbartonshire,2012-13,Persons,Out,3420
East Dunbartonshire,2013-14,Female,In,2140
East Dunbartonshire,2013-14,Female,Net,540
East Dunbartonshire,2013-14,Female,Out,1590
East Dunbartonshire,2013-14,Male,In,1910
East Dunbartonshire,2013-14,Male,Net,370
East Dunbartonshire,2013-14,Male,Out,1540
East Dunbartonshire,2013-14,Persons,In,4050
East Dunbartonshire,2013-14,Persons,Net,910
East Dunbartonshire,2013-14,Persons,Out,3140
East Dunbartonshire,2014-15,Female,In,2140
East Dunbartonshire,2014-15,Female,Net,290
East Dunbartonshire,2014-15,Female,Out,1850
East Dunbartonshire,2014-15,Male,In,2060
East Dunbartonshire,2014-15,Male,Net,260
East Dunbartonshire,2014-15,Male,Out,1800
East Dunbartonshire,2014-15,Persons,In,4200
East Dunbartonshire,2014-15,Persons,Net,550
East Dunbartonshire,2014-15,Persons,Out,3650
East Dunbartonshire,2015-16,Female,In,2190
East Dunbartonshire,2015-16,Female,Net,430
East Dunbartonshire,2015-16,Female,Out,1760
East Dunbartonshire,2015-16,Male,In,2010
East Dunbartonshire,2015-16,Male,Net,280
East Dunbartonshire,2015-16,Male,Out,1730
East Dunbartonshire,2015-16,Persons,In,4200
East Dunbartonshire,2015-16,Persons,Net,710
East Dunbartonshire,2015-16,Persons,Out,3490
East Dunbartonshire,2016-17,Female,In,2090
East Dunbartonshire,2016-17,Female,Net,370
East Dunbartonshire,2016-17,Female,Out,1710
East Dunbartonshire,2016-17,Male,In,1970
East Dunbartonshire,2016-17,Male,Net,320
East Dunbartonshire,2016-17,Male,Out,1650
East Dunbartonshire,2016-17,Persons,In,4050
East Dunbartonshire,2016-17,Persons,Net,690
East Dunbartonshire,2016-17,Persons,Out,3360
East Dunbartonshire,2017-18,Female,In,2030
East Dunbartonshire,2017-18,Female,Net,210
East Dunbartonshire,2017-18,Female,Out,1830
East Dunbartonshire,2017-18,Male,In,1950
East Dunbartonshire,2017-18,Male,Net,170
East Dunbartonshire,2017-18,Male,Out,1780
East Dunbartonshire,2017-18,Persons,In,3980
East Dunbartonshire,2017-18,Persons,Net,370
East Dunbartonshire,2017-18,Persons,Out,3610
East Dunbartonshire,2018-19,Female,In,2030
East Dunbartonshire,2018-19,Female,Net,290
East Dunbartonshire,2018-19,Female,Out,1740
East Dunbartonshire,2018-19,Male,In,1840
East Dunbartonshire,2018-19,Male,Net,140
East Dunbartonshire,2018-19,Male,Out,1700
East Dunbartonshire,2018-19,Persons,In,3870
East Dunbartonshire,2018-19,Persons,Net,420
East Dunbartonshire,2018-19,Persons,Out,3440
East Lothian,2001-02,Female,In,2000
East Lothian,2001-02,Female,Net,380
East Lothian,2001-02,Female,Out,1620
East Lothian,2001-02,Male,In,1920
East Lothian,2001-02,Male,Net,460
East Lothian,2001-02,Male,Out,1460
East Lothian,2001-02,Persons,In,3920
East Lothian,2001-02,Persons,Net,850
East Lothian,2001-02,Persons,Out,3070
East Lothian,2002-03,Female,In,1960
East Lothian,2002-03,Female,Net,360
East Lothian,2002-03,Female,Out,1610
East Lothian,2002-03,Male,In,1790
East Lothian,2002-03,Male,Net,280
East Lothian,2002-03,Male,Out,1500
East Lothian,2002-03,Persons,In,3750
East Lothian,2002-03,Persons,Net,640
East Lothian,2002-03,Persons,Out,3110
East Lothian,2003-04,Female,In,1930
East Lothian,2003-04,Female,Net,210
East Lothian,2003-04,Female,Out,1710
East Lothian,2003-04,Male,In,1750
East Lothian,2003-04,Male,Net,220
East Lothian,2003-04,Male,Out,1530
East Lothian,2003-04,Persons,In,3680
East Lothian,2003-04,Persons,Net,430
East Lothian,2003-04,Persons,Out,3250
East Lothian,2004-05,Female,In,1840
East Lothian,2004-05,Female,Net,190
East Lothian,2004-05,Female,Out,1650
East Lothian,2004-05,Male,In,1810
East Lothian,2004-05,Male,Net,310
East Lothian,2004-05,Male,Out,1500
East Lothian,2004-05,Persons,In,3650
East Lothian,2004-05,Persons,Net,500
East Lothian,2004-05,Persons,Out,3150
East Lothian,2005-06,Female,In,2010
East Lothian,2005-06,Female,Net,500
East Lothian,2005-06,Female,Out,1520
East Lothian,2005-06,Male,In,1930
East Lothian,2005-06,Male,Net,430
East Lothian,2005-06,Male,Out,1500
East Lothian,2005-06,Persons,In,3940
East Lothian,2005-06,Persons,Net,930
East Lothian,2005-06,Persons,Out,3020
East Lothian,2006-07,Female,In,2280
East Lothian,2006-07,Female,Net,840
East Lothian,2006-07,Female,Out,1440
East Lothian,2006-07,Male,In,2120
East Lothian,2006-07,Male,Net,720
East Lothian,2006-07,Male,Out,1400
East Lothian,2006-07,Persons,In,4400
East Lothian,2006-07,Persons,Net,1560
East Lothian,2006-07,Persons,Out,2840
East Lothian,2007-08,Female,In,2660
East Lothian,2007-08,Female,Net,1050
East Lothian,2007-08,Female,Out,1620
East Lothian,2007-08,Male,In,2150
East Lothian,2007-08,Male,Net,590
East Lothian,2007-08,Male,Out,1560
East Lothian,2007-08,Persons,In,4810
East Lothian,2007-08,Persons,Net,1640
East Lothian,2007-08,Persons,Out,3180
East Lothian,2008-09,Female,In,1920
East Lothian,2008-09,Female,Net,340
East Lothian,2008-09,Female,Out,1580
East Lothian,2008-09,Male,In,1730
East Lothian,2008-09,Male,Net,370
East Lothian,2008-09,Male,Out,1370
East Lothian,2008-09,Persons,In,3650
East Lothian,2008-09,Persons,Net,710
East Lothian,2008-09,Persons,Out,2940
East Lothian,2009-10,Female,In,2000
East Lothian,2009-10,Female,Net,310
East Lothian,2009-10,Female,Out,1690
East Lothian,2009-10,Male,In,1720
East Lothian,2009-10,Male,Net,280
East Lothian,2009-10,Male,Out,1440
East Lothian,2009-10,Persons,In,3720
East Lothian,2009-10,Persons,Net,600
East Lothian,2009-10,Persons,Out,3130
East Lothian,2010-11,Female,In,1920
East Lothian,2010-11,Female,Net,210
East Lothian,2010-11,Female,Out,1720
East Lothian,2010-11,Male,In,1730
East Lothian,2010-11,Male,Net,240
East Lothian,2010-11,Male,Out,1490
East Lothian,2010-11,Persons,In,3650
East Lothian,2010-11,Persons,Net,450
East Lothian,2010-11,Persons,Out,3210
East Lothian,2011-12,Female,In,2220
East Lothian,2011-12,Female,Net,540
East Lothian,2011-12,Female,Out,1680
East Lothian,2011-12,Male,In,1800
East Lothian,2011-12,Male,Net,250
East Lothian,2011-12,Male,Out,1550
East Lothian,2011-12,Persons,In,4020
East Lothian,2011-12,Persons,Net,790
East Lothian,2011-12,Persons,Out,3230
East Lothian,2012-13,Female,In,2040
East Lothian,2012-13,Female,Net,300
East Lothian,2012-13,Female,Out,1740
East Lothian,2012-13,Male,In,1740
East Lothian,2012-13,Male,Net,220
East Lothian,2012-13,Male,Out,1510
East Lothian,2012-13,Persons,In,3780
East Lothian,2012-13,Persons,Net,520
East Lothian,2012-13,Persons,Out,3250
East Lothian,2013-14,Female,In,2250
East Lothian,2013-14,Female,Net,410
East Lothian,2013-14,Female,Out,1840
East Lothian,2013-14,Male,In,1890
East Lothian,2013-14,Male,Net,300
East Lothian,2013-14,Male,Out,1590
East Lothian,2013-14,Persons,In,4140
East Lothian,2013-14,Persons,Net,710
East Lothian,2013-14,Persons,Out,3420
East Lothian,2014-15,Female,In,2320
East Lothian,2014-15,Female,Net,520
East Lothian,2014-15,Female,Out,1800
East Lothian,2014-15,Male,In,2020
East Lothian,2014-15,Male,Net,450
East Lothian,2014-15,Male,Out,1580
East Lothian,2014-15,Persons,In,4340
East Lothian,2014-15,Persons,Net,960
East Lothian,2014-15,Persons,Out,3380
East Lothian,2015-16,Female,In,2140
East Lothian,2015-16,Female,Net,520
East Lothian,2015-16,Female,Out,1620
East Lothian,2015-16,Male,In,1870
East Lothian,2015-16,Male,Net,440
East Lothian,2015-16,Male,Out,1420
East Lothian,2015-16,Persons,In,4010
East Lothian,2015-16,Persons,Net,960
East Lothian,2015-16,Persons,Out,3050
East Lothian,2016-17,Female,In,2200
East Lothian,2016-17,Female,Net,430
East Lothian,2016-17,Female,Out,1770
East Lothian,2016-17,Male,In,1960
East Lothian,2016-17,Male,Net,370
East Lothian,2016-17,Male,Out,1590
East Lothian,2016-17,Persons,In,4160
East Lothian,2016-17,Persons,Net,800
East Lothian,2016-17,Persons,Out,3360
East Lothian,2017-18,Female,In,2410
East Lothian,2017-18,Female,Net,610
East Lothian,2017-18,Female,Out,1800
East Lothian,2017-18,Male,In,2090
East Lothian,2017-18,Male,Net,540
East Lothian,2017-18,Male,Out,1550
East Lothian,2017-18,Persons,In,4500
East Lothian,2017-18,Persons,Net,1150
East Lothian,2017-18,Persons,Out,3350
East Lothian,2018-19,Female,In,2430
East Lothian,2018-19,Female,Net,610
East Lothian,2018-19,Female,Out,1820
East Lothian,2018-19,Male,In,2130
East Lothian,2018-19,Male,Net,660
East Lothian,2018-19,Male,Out,1470
East Lothian,2018-19,Persons,In,4560
East Lothian,2018-19,Persons,Net,1270
East Lothian,2018-19,Persons,Out,3290
East Renfrewshire,2001-02,Female,In,2180
East Renfrewshire,2001-02,Female,Net,290
East Renfrewshire,2001-02,Female,Out,1890
East Renfrewshire,2001-02,Male,In,1970
East Renfrewshire,2001-02,Male,Net,160
East Renfrewshire,2001-02,Male,Out,1810
East Renfrewshire,2001-02,Persons,In,4150
East Renfrewshire,2001-02,Persons,Net,450
East Renfrewshire,2001-02,Persons,Out,3700
East Renfrewshire,2002-03,Female,In,1950
East Renfrewshire,2002-03,Female,Net,0
East Renfrewshire,2002-03,Female,Out,1950
East Renfrewshire,2002-03,Male,In,1740
East Renfrewshire,2002-03,Male,Net,-80
East Renfrewshire,2002-03,Male,Out,1820
East Renfrewshire,2002-03,Persons,In,3680
East Renfrewshire,2002-03,Persons,Net,-80
East Renfrewshire,2002-03,Persons,Out,3770
East Renfrewshire,2003-04,Female,In,1820
East Renfrewshire,2003-04,Female,Net,-30
East Renfrewshire,2003-04,Female,Out,1850
East Renfrewshire,2003-04,Male,In,1580
East Renfrewshire,2003-04,Male,Net,-70
East Renfrewshire,2003-04,Male,Out,1640
East Renfrewshire,2003-04,Persons,In,3400
East Renfrewshire,2003-04,Persons,Net,-100
East Renfrewshire,2003-04,Persons,Out,3500
East Renfrewshire,2004-05,Female,In,1800
East Renfrewshire,2004-05,Female,Net,50
East Renfrewshire,2004-05,Female,Out,1750
East Renfrewshire,2004-05,Male,In,1610
East Renfrewshire,2004-05,Male,Net,-70
East Renfrewshire,2004-05,Male,Out,1680
East Renfrewshire,2004-05,Persons,In,3410
East Renfrewshire,2004-05,Persons,Net,-20
East Renfrewshire,2004-05,Persons,Out,3430
East Renfrewshire,2005-06,Female,In,1770
East Renfrewshire,2005-06,Female,Net,-90
East Renfrewshire,2005-06,Female,Out,1860
East Renfrewshire,2005-06,Male,In,1560
East Renfrewshire,2005-06,Male,Net,-120
East Renfrewshire,2005-06,Male,Out,1680
East Renfrewshire,2005-06,Persons,In,3330
East Renfrewshire,2005-06,Persons,Net,-210
East Renfrewshire,2005-06,Persons,Out,3540
East Renfrewshire,2006-07,Female,In,1770
East Renfrewshire,2006-07,Female,Net,30
East Renfrewshire,2006-07,Female,Out,1740
East Renfrewshire,2006-07,Male,In,1520
East Renfrewshire,2006-07,Male,Net,20
East Renfrewshire,2006-07,Male,Out,1500
East Renfrewshire,2006-07,Persons,In,3290
East Renfrewshire,2006-07,Persons,Net,50
East Renfrewshire,2006-07,Persons,Out,3240
East Renfrewshire,2007-08,Female,In,1710
East Renfrewshire,2007-08,Female,Net,-90
East Renfrewshire,2007-08,Female,Out,1800
East Renfrewshire,2007-08,Male,In,1580
East Renfrewshire,2007-08,Male,Net,20
East Renfrewshire,2007-08,Male,Out,1560
East Renfrewshire,2007-08,Persons,In,3290
East Renfrewshire,2007-08,Persons,Net,-70
East Renfrewshire,2007-08,Persons,Out,3360
East Renfrewshire,2008-09,Female,In,1570
East Renfrewshire,2008-09,Female,Net,90
East Renfrewshire,2008-09,Female,Out,1490
East Renfrewshire,2008-09,Male,In,1370
East Renfrewshire,2008-09,Male,Net,-10
East Renfrewshire,2008-09,Male,Out,1390
East Renfrewshire,2008-09,Persons,In,2950
East Renfrewshire,2008-09,Persons,Net,70
East Renfrewshire,2008-09,Persons,Out,2870
East Renfrewshire,2009-10,Female,In,1690
East Renfrewshire,2009-10,Female,Net,260
East Renfrewshire,2009-10,Female,Out,1430
East Renfrewshire,2009-10,Male,In,1410
East Renfrewshire,2009-10,Male,Net,110
East Renfrewshire,2009-10,Male,Out,1300
East Renfrewshire,2009-10,Persons,In,3100
East Renfrewshire,2009-10,Persons,Net,370
East Renfrewshire,2009-10,Persons,Out,2730
East Renfrewshire,2010-11,Female,In,1630
East Renfrewshire,2010-11,Female,Net,140
East Renfrewshire,2010-11,Female,Out,1490
East Renfrewshire,2010-11,Male,In,1510
East Renfrewshire,2010-11,Male,Net,140
East Renfrewshire,2010-11,Male,Out,1380
East Renfrewshire,2010-11,Persons,In,3140
East Renfrewshire,2010-11,Persons,Net,270
East Renfrewshire,2010-11,Persons,Out,2870
East Renfrewshire,2011-12,Female,In,1750
East Renfrewshire,2011-12,Female,Net,200
East Renfrewshire,2011-12,Female,Out,1540
East Renfrewshire,2011-12,Male,In,1540
East Renfrewshire,2011-12,Male,Net,-20
East Renfrewshire,2011-12,Male,Out,1560
East Renfrewshire,2011-12,Persons,In,3290
East Renfrewshire,2011-12,Persons,Net,190
East Renfrewshire,2011-12,Persons,Out,3100
East Renfrewshire,2012-13,Female,In,1910
East Renfrewshire,2012-13,Female,Net,330
East Renfrewshire,2012-13,Female,Out,1580
East Renfrewshire,2012-13,Male,In,1750
East Renfrewshire,2012-13,Male,Net,210
East Renfrewshire,2012-13,Male,Out,1540
East Renfrewshire,2012-13,Persons,In,3670
East Renfrewshire,2012-13,Persons,Net,540
East Renfrewshire,2012-13,Persons,Out,3130
East Renfrewshire,2013-14,Female,In,2010
East Renfrewshire,2013-14,Female,Net,520
East Renfrewshire,2013-14,Female,Out,1490
East Renfrewshire,2013-14,Male,In,1820
East Renfrewshire,2013-14,Male,Net,370
East Renfrewshire,2013-14,Male,Out,1440
East Renfrewshire,2013-14,Persons,In,3820
East Renfrewshire,2013-14,Persons,Net,890
East Renfrewshire,2013-14,Persons,Out,2930
East Renfrewshire,2014-15,Female,In,2070
East Renfrewshire,2014-15,Female,Net,400
East Renfrewshire,2014-15,Female,Out,1670
East Renfrewshire,2014-15,Male,In,1870
East Renfrewshire,2014-15,Male,Net,230
East Renfrewshire,2014-15,Male,Out,1640
East Renfrewshire,2014-15,Persons,In,3940
East Renfrewshire,2014-15,Persons,Net,630
East Renfrewshire,2014-15,Persons,Out,3320
East Renfrewshire,2015-16,Female,In,2170
East Renfrewshire,2015-16,Female,Net,500
East Renfrewshire,2015-16,Female,Out,1670
East Renfrewshire,2015-16,Male,In,1910
East Renfrewshire,2015-16,Male,Net,320
East Renfrewshire,2015-16,Male,Out,1590
East Renfrewshire,2015-16,Persons,In,4080
East Renfrewshire,2015-16,Persons,Net,820
East Renfrewshire,2015-16,Persons,Out,3260
East Renfrewshire,2016-17,Female,In,2020
East Renfrewshire,2016-17,Female,Net,450
East Renfrewshire,2016-17,Female,Out,1570
East Renfrewshire,2016-17,Male,In,2010
East Renfrewshire,2016-17,Male,Net,510
East Renfrewshire,2016-17,Male,Out,1490
East Renfrewshire,2016-17,Persons,In,4020
East Renfrewshire,2016-17,Persons,Net,960
East Renfrewshire,2016-17,Persons,Out,3060
East Renfrewshire,2017-18,Female,In,1970
East Renfrewshire,2017-18,Female,Net,260
East Renfrewshire,2017-18,Female,Out,1710
East Renfrewshire,2017-18,Male,In,1830
East Renfrewshire,2017-18,Male,Net,260
East Renfrewshire,2017-18,Male,Out,1560
East Renfrewshire,2017-18,Persons,In,3790
East Renfrewshire,2017-18,Persons,Net,520
East Renfrewshire,2017-18,Persons,Out,3270
East Renfrewshire,2018-19,Female,In,1840
East Renfrewshire,2018-19,Female,Net,170
East Renfrewshire,2018-19,Female,Out,1660
East Renfrewshire,2018-19,Male,In,1740
East Renfrewshire,2018-19,Male,Net,200
East Renfrewshire,2018-19,Male,Out,1540
East Renfrewshire,2018-19,Persons,In,3580
East Renfrewshire,2018-19,Persons,Net,370
East Renfrewshire,2018-19,Persons,Out,3210
Falkirk,2001-02,Female,In,2230
Falkirk,2001-02,Female,Net,550
Falkirk,2001-02,Female,Out,1690
Falkirk,2001-02,Male,In,2050
Falkirk,2001-02,Male,Net,300
Falkirk,2001-02,Male,Out,1750
Falkirk,2001-02,Persons,In,4280
Falkirk,2001-02,Persons,Net,840
Falkirk,2001-02,Persons,Out,3430
Falkirk,2002-03,Female,In,2240
Falkirk,2002-03,Female,Net,480
Falkirk,2002-03,Female,Out,1760
Falkirk,2002-03,Male,In,2190
Falkirk,2002-03,Male,Net,430
Falkirk,2002-03,Male,Out,1760
Falkirk,2002-03,Persons,In,4430
Falkirk,2002-03,Persons,Net,910
Falkirk,2002-03,Persons,Out,3520
Falkirk,2003-04,Female,In,2430
Falkirk,2003-04,Female,Net,850
Falkirk,2003-04,Female,Out,1580
Falkirk,2003-04,Male,In,2300
Falkirk,2003-04,Male,Net,660
Falkirk,2003-04,Male,Out,1630
Falkirk,2003-04,Persons,In,4720
Falkirk,2003-04,Persons,Net,1510
Falkirk,2003-04,Persons,Out,3210
Falkirk,2004-05,Female,In,2560
Falkirk,2004-05,Female,Net,810
Falkirk,2004-05,Female,Out,1750
Falkirk,2004-05,Male,In,2600
Falkirk,2004-05,Male,Net,830
Falkirk,2004-05,Male,Out,1770
Falkirk,2004-05,Persons,In,5160
Falkirk,2004-05,Persons,Net,1640
