Council area,Registration Year,Sex,Number,,,,
Aberdeen City,1992,Male,1102,,,,
Aberdeenshire,1992,Male,1067,,,,
Angus,1992,Male,653,,,,
Argyll and Bute,1992,Male,574,,,,
City of Edinburgh,1992,Male,2477,,,,
Clackmannanshire,1992,Male,270,,,,
Dumfries and Galloway,1992,Male,904,,,,
Dundee City,1992,Male,955,,,,
East Ayrshire,1992,Male,699,,,,
East Dunbartonshire,1992,Male,487,,,,
East Lothian,1992,Male,490,,,,
East Renfrewshire,1992,Male,390,,,,
Falkirk,1992,Male,813,,,,
Fife,1992,Male,1910,,,,
Glasgow City,1992,Male,4293,,,,
Highland,1992,Male,1204,,,,
Inverclyde,1992,Male,602,,,,
Midlothian,1992,Male,403,,,,
Moray,1992,Male,467,,,,
Na h-Eileanan Siar,1992,Male,220,,,,
North Ayrshire,1992,Male,787,,,,
North Lanarkshire,1992,Male,1759,,,,
Orkney Islands,1992,Male,127,,,,
Perth and Kinross,1992,Male,779,,,,
Renfrewshire,1992,Male,1066,,,,
Scotland,1992,Male,29334,,,,
Scottish Borders,1992,Male,651,,,,
Shetland Islands,1992,Male,122,,,,
South Ayrshire,1992,Male,629,,,,
South Lanarkshire,1992,Male,1639,,,,
Stirling,1992,Male,456,,,,
West Dunbartonshire,1992,Male,667,,,,
West Lothian,1992,Male,672,,,,
Aberdeen City,1993,All people,2532,,,,
Aberdeenshire,1993,All people,2306,,,,
Angus,1993,All people,1483,,,,
Argyll and Bute,1993,All people,1363,,,,
City of Edinburgh,1993,All people,5524,,,,
Clackmannanshire,1993,All people,511,,,,
Dumfries and Galloway,1993,All people,1958,,,,
Dundee City,1993,All people,2042,,,,
East Ayrshire,1993,All people,1531,,,,
East Dunbartonshire,1993,All people,1030,,,,
East Lothian,1993,All people,1119,,,,
East Renfrewshire,1993,All people,857,,,,
Falkirk,1993,All people,1833,,,,
Fife,1993,All people,4126,,,,
Glasgow City,1993,All people,9364,,,,
Highland,1993,All people,2394,,,,
Inverclyde,1993,All people,1341,,,,
Midlothian,1993,All people,862,,,,
Moray,1993,All people,1023,,,,
Na h-Eileanan Siar,1993,All people,460,,,,
North Ayrshire,1993,All people,1793,,,,
North Lanarkshire,1993,All people,3870,,,,
Orkney Islands,1993,All people,261,,,,
Perth and Kinross,1993,All people,1865,,,,
Renfrewshire,1993,All people,2148,,,,
Scotland,1993,All people,64049,,,,
Scottish Borders,1993,All people,1393,,,,
Shetland Islands,1993,All people,287,,,,
South Ayrshire,1993,All people,1659,,,,
South Lanarkshire,1993,All people,3583,,,,
Stirling,1993,All people,941,,,,
West Dunbartonshire,1993,All people,1177,,,,
West Lothian,1993,All people,1413,,,,
Aberdeen City,1993,Female,1426,,,,
Aberdeenshire,1993,Female,1187,,,,
Angus,1993,Female,827,,,,
Argyll and Bute,1993,Female,744,,,,
City of Edinburgh,1993,Female,3011,,,,
Clackmannanshire,1993,Female,265,,,,
Dumfries and Galloway,1993,Female,1025,,,,
Dundee City,1993,Female,1066,,,,
East Ayrshire,1993,Female,778,,,,
East Dunbartonshire,1993,Female,545,,,,
East Lothian,1993,Female,584,,,,
East Renfrewshire,1993,Female,464,,,,
Falkirk,1993,Female,968,,,,
Fife,1993,Female,2101,,,,
Glasgow City,1993,Female,4887,,,,
Highland,1993,Female,1188,,,,
Inverclyde,1993,Female,701,,,,
Midlothian,1993,Female,424,,,,
Moray,1993,Female,510,,,,
Na h-Eileanan Siar,1993,Female,245,,,,
North Ayrshire,1993,Female,945,,,,
North Lanarkshire,1993,Female,1978,,,,
Orkney Islands,1993,Female,144,,,,
Perth and Kinross,1993,Female,990,,,,
Renfrewshire,1993,Female,1143,,,,
Scotland,1993,Female,33545,,,,
Scottish Borders,1993,Female,736,,,,
Shetland Islands,1993,Female,133,,,,
South Ayrshire,1993,Female,868,,,,
South Lanarkshire,1993,Female,1865,,,,
Stirling,1993,Female,488,,,,
West Dunbartonshire,1993,Female,606,,,,
West Lothian,1993,Female,703,,,,
Aberdeen City,1993,Male,1106,,,,
Aberdeenshire,1993,Male,1119,,,,
Angus,1993,Male,656,,,,
Argyll and Bute,1993,Male,619,,,,
City of Edinburgh,1993,Male,2513,,,,
Clackmannanshire,1993,Male,246,,,,
Dumfries and Galloway,1993,Male,933,,,,
Dundee City,1993,Male,976,,,,
East Ayrshire,1993,Male,753,,,,
East Dunbartonshire,1993,Male,485,,,,
East Lothian,1993,Male,535,,,,
East Renfrewshire,1993,Male,393,,,,
Falkirk,1993,Male,865,,,,
Fife,1993,Male,2025,,,,
Glasgow City,1993,Male,4477,,,,
Highland,1993,Male,1206,,,,
Inverclyde,1993,Male,640,,,,
Midlothian,1993,Male,438,,,,
Moray,1993,Male,513,,,,
Na h-Eileanan Siar,1993,Male,215,,,,
North Ayrshire,1993,Male,848,,,,
North Lanarkshire,1993,Male,1892,,,,
Orkney Islands,1993,Male,117,,,,
Perth and Kinross,1993,Male,875,,,,
Renfrewshire,1993,Male,1005,,,,
Scotland,1993,Male,30504,,,,
Scottish Borders,1993,Male,657,,,,
Shetland Islands,1993,Male,154,,,,
South Ayrshire,1993,Male,791,,,,
South Lanarkshire,1993,Male,1718,,,,
Stirling,1993,Male,453,,,,
West Dunbartonshire,1993,Male,571,,,,
West Lothian,1993,Male,710,,,,
Aberdeen City,1994,All people,2301,,,,
Aberdeenshire,1994,All people,2096,,,,
Angus,1994,All people,1421,,,,
Argyll and Bute,1994,All people,1251,,,,
City of Edinburgh,1994,All people,5114,,,,
Clackmannanshire,1994,All people,503,,,,
Dumfries and Galloway,1994,All people,1834,,,,
Dundee City,1994,All people,1814,,,,
East Ayrshire,1994,All people,1505,,,,
East Dunbartonshire,1994,All people,978,,,,
East Lothian,1994,All people,1033,,,,
East Renfrewshire,1994,All people,807,,,,
Falkirk,1994,All people,1717,,,,
Fife,1994,All people,3890,,,,
Glasgow City,1994,All people,8570,,,,
Highland,1994,All people,2340,,,,
Inverclyde,1994,All people,1199,,,,
Midlothian,1994,All people,778,,,,
Moray,1994,All people,933,,,,
Na h-Eileanan Siar,1994,All people,425,,,,
North Ayrshire,1994,All people,1634,,,,
North Lanarkshire,1994,All people,3556,,,,
Orkney Islands,1994,All people,235,,,,
Perth and Kinross,1994,All people,1727,,,,
Renfrewshire,1994,All people,2020,,,,
Scotland,1994,All people,59328,,,,
Scottish Borders,1994,All people,1348,,,,
Shetland Islands,1994,All people,265,,,,
South Ayrshire,1994,All people,1431,,,,
South Lanarkshire,1994,All people,3281,,,,
Stirling,1994,All people,937,,,,
West Dunbartonshire,1994,All people,1149,,,,
West Lothian,1994,All people,1236,,,,
Aberdeen City,1994,Female,1237,,,,
Aberdeenshire,1994,Female,1077,,,,
Angus,1994,Female,787,,,,
Argyll and Bute,1994,Female,642,,,,
City of Edinburgh,1994,Female,2828,,,,
Clackmannanshire,1994,Female,265,,,,
Dumfries and Galloway,1994,Female,950,,,,
Dundee City,1994,Female,923,,,,
East Ayrshire,1994,Female,788,,,,
East Dunbartonshire,1994,Female,529,,,,
East Lothian,1994,Female,555,,,,
East Renfrewshire,1994,Female,438,,,,
Falkirk,1994,Female,898,,,,
Fife,1994,Female,1998,,,,
Glasgow City,1994,Female,4404,,,,
Highland,1994,Female,1166,,,,
Inverclyde,1994,Female,601,,,,
Midlothian,1994,Female,408,,,,
Moray,1994,Female,466,,,,
Na h-Eileanan Siar,1994,Female,218,,,,
North Ayrshire,1994,Female,861,,,,
North Lanarkshire,1994,Female,1761,,,,
Orkney Islands,1994,Female,115,,,,
Perth and Kinross,1994,Female,913,,,,
Renfrewshire,1994,Female,1020,,,,
Scotland,1994,Female,30912,,,,
Scottish Borders,1994,Female,740,,,,
Shetland Islands,1994,Female,129,,,,
South Ayrshire,1994,Female,789,,,,
South Lanarkshire,1994,Female,1705,,,,
Stirling,1994,Female,501,,,,
West Dunbartonshire,1994,Female,612,,,,
West Lothian,1994,Female,588,,,,
Aberdeen City,1994,Male,1064,,,,
Aberdeenshire,1994,Male,1019,,,,
Angus,1994,Male,634,,,,
Argyll and Bute,1994,Male,609,,,,
City of Edinburgh,1994,Male,2286,,,,
Clackmannanshire,1994,Male,238,,,,
Dumfries and Galloway,1994,Male,884,,,,
Dundee City,1994,Male,891,,,,
East Ayrshire,1994,Male,717,,,,
East Dunbartonshire,1994,Male,449,,,,
East Lothian,1994,Male,478,,,,
East Renfrewshire,1994,Male,369,,,,
Falkirk,1994,Male,819,,,,
Fife,1994,Male,1892,,,,
Glasgow City,1994,Male,4166,,,,
Highland,1994,Male,1174,,,,
Inverclyde,1994,Male,598,,,,
Midlothian,1994,Male,370,,,,
Moray,1994,Male,467,,,,
Na h-Eileanan Siar,1994,Male,207,,,,
North Ayrshire,1994,Male,773,,,,
North Lanarkshire,1994,Male,1795,,,,
Orkney Islands,1994,Male,120,,,,
Perth and Kinross,1994,Male,814,,,,
Renfrewshire,1994,Male,1000,,,,
Scotland,1994,Male,28416,,,,
Scottish Borders,1994,Male,608,,,,
Shetland Islands,1994,Male,136,,,,
South Ayrshire,1994,Male,642,,,,
South Lanarkshire,1994,Male,1576,,,,
Stirling,1994,Male,436,,,,
West Dunbartonshire,1994,Male,537,,,,
West Lothian,1994,Male,648,,,,
Aberdeen City,1995,All people,2389,,,,
Aberdeenshire,1995,All people,2121,,,,
Angus,1995,All people,1439,,,,
Argyll and Bute,1995,All people,1262,,,,
City of Edinburgh,1995,All people,5112,,,,
Clackmannanshire,1995,All people,518,,,,
Dumfries and Galloway,1995,All people,1763,,,,
Dundee City,1995,All people,1876,,,,
East Ayrshire,1995,All people,1459,,,,
East Dunbartonshire,1995,All people,953,,,,
East Lothian,1995,All people,1082,,,,
East Renfrewshire,1995,All people,880,,,,
Falkirk,1995,All people,1636,,,,
Fife,1995,All people,3973,,,,
Glasgow City,1995,All people,8867,,,,
Highland,1995,All people,2428,,,,
Inverclyde,1995,All people,1230,,,,
Midlothian,1995,All people,858,,,,
Moray,1995,All people,986,,,,
Na h-Eileanan Siar,1995,All people,429,,,,
North Ayrshire,1995,All people,1641,,,,
North Lanarkshire,1995,All people,3625,,,,
Orkney Islands,1995,All people,236,,,,
Perth and Kinross,1995,All people,1711,,,,
Renfrewshire,1995,All people,2002,,,,
Scotland,1995,All people,60500,,,,
Scottish Borders,1995,All people,1397,,,,
Shetland Islands,1995,All people,233,,,,
South Ayrshire,1995,All people,1552,,,,
South Lanarkshire,1995,All people,3439,,,,
Stirling,1995,All people,885,,,,
West Dunbartonshire,1995,All people,1150,,,,
West Lothian,1995,All people,1368,,,,
Aberdeen City,1995,Female,1246,,,,
Aberdeenshire,1995,Female,1073,,,,
Angus,1995,Female,795,,,,
Argyll and Bute,1995,Female,680,,,,
City of Edinburgh,1995,Female,2784,,,,
Clackmannanshire,1995,Female,273,,,,
Dumfries and Galloway,1995,Female,859,,,,
Dundee City,1995,Female,987,,,,
East Ayrshire,1995,Female,739,,,,
East Dunbartonshire,1995,Female,500,,,,
East Lothian,1995,Female,582,,,,
East Renfrewshire,1995,Female,498,,,,
Falkirk,1995,Female,869,,,,
Fife,1995,Female,2081,,,,
Glasgow City,1995,Female,4541,,,,
Highland,1995,Female,1278,,,,
Inverclyde,1995,Female,635,,,,
Midlothian,1995,Female,441,,,,
Moray,1995,Female,503,,,,
Na h-Eileanan Siar,1995,Female,212,,,,
North Ayrshire,1995,Female,880,,,,
North Lanarkshire,1995,Female,1931,,,,
Orkney Islands,1995,Female,110,,,,
Perth and Kinross,1995,Female,904,,,,
Renfrewshire,1995,Female,1046,,,,
Scotland,1995,Female,31709,,,,
Scottish Borders,1995,Female,751,,,,
Shetland Islands,1995,Female,112,,,,
South Ayrshire,1995,Female,859,,,,
South Lanarkshire,1995,Female,1754,,,,
Stirling,1995,Female,474,,,,
West Dunbartonshire,1995,Female,612,,,,
West Lothian,1995,Female,700,,,,
Aberdeen City,1995,Male,1143,,,,
Aberdeenshire,1995,Male,1048,,,,
Angus,1995,Male,644,,,,
Argyll and Bute,1995,Male,582,,,,
City of Edinburgh,1995,Male,2328,,,,
Clackmannanshire,1995,Male,245,,,,
Dumfries and Galloway,1995,Male,904,,,,
Dundee City,1995,Male,889,,,,
East Ayrshire,1995,Male,720,,,,
East Dunbartonshire,1995,Male,453,,,,
East Lothian,1995,Male,500,,,,
East Renfrewshire,1995,Male,382,,,,
Falkirk,1995,Male,767,,,,
Fife,1995,Male,1892,,,,
Glasgow City,1995,Male,4326,,,,
Highland,1995,Male,1150,,,,
Inverclyde,1995,Male,595,,,,
Midlothian,1995,Male,417,,,,
Moray,1995,Male,483,,,,
Na h-Eileanan Siar,1995,Male,217,,,,
North Ayrshire,1995,Male,761,,,,
North Lanarkshire,1995,Male,1694,,,,
Orkney Islands,1995,Male,126,,,,
Perth and Kinross,1995,Male,807,,,,
Renfrewshire,1995,Male,956,,,,
Scotland,1995,Male,28791,,,,
Scottish Borders,1995,Male,646,,,,
Shetland Islands,1995,Male,121,,,,
South Ayrshire,1995,Male,693,,,,
South Lanarkshire,1995,Male,1685,,,,
Stirling,1995,Male,411,,,,
West Dunbartonshire,1995,Male,538,,,,
West Lothian,1995,Male,668,,,,
Aberdeen City,1996,All people,2357,,,,
Aberdeenshire,1996,All people,1996,,,,
Angus,1996,All people,1458,,,,
Argyll and Bute,1996,All people,1253,,,,
City of Edinburgh,1996,All people,5261,,,,
Clackmannanshire,1996,All people,553,,,,
Dumfries and Galloway,1996,All people,1883,,,,
Dundee City,1996,All people,1970,,,,
East Ayrshire,1996,All people,1425,,,,
East Dunbartonshire,1996,All people,1015,,,,
East Lothian,1996,All people,1113,,,,
East Renfrewshire,1996,All people,840,,,,
Falkirk,1996,All people,1673,,,,
Fife,1996,All people,3992,,,,
Glasgow City,1996,All people,8646,,,,
Highland,1996,All people,2388,,,,
Inverclyde,1996,All people,1259,,,,
Midlothian,1996,All people,854,,,,
Moray,1996,All people,906,,,,
Na h-Eileanan Siar,1996,All people,431,,,,
North Ayrshire,1996,All people,1640,,,,
North Lanarkshire,1996,All people,3628,,,,
Orkney Islands,1996,All people,228,,,,
Perth and Kinross,1996,All people,1668,,,,
Renfrewshire,1996,All people,2074,,,,
Scotland,1996,All people,60654,,,,
Scottish Borders,1996,All people,1358,,,,
Shetland Islands,1996,All people,251,,,,
South Ayrshire,1996,All people,1458,,,,
South Lanarkshire,1996,All people,3460,,,,
Stirling,1996,All people,974,,,,
West Dunbartonshire,1996,All people,1212,,,,
West Lothian,1996,All people,1430,,,,
Aberdeen City,1996,Female,1215,,,,
Aberdeenshire,1996,Female,988,,,,
Angus,1996,Female,774,,,,
Argyll and Bute,1996,Female,700,,,,
City of Edinburgh,1996,Female,2801,,,,
Clackmannanshire,1996,Female,284,,,,
Dumfries and Galloway,1996,Female,985,,,,
Dundee City,1996,Female,1032,,,,
East Ayrshire,1996,Female,773,,,,
East Dunbartonshire,1996,Female,499,,,,
East Lothian,1996,Female,596,,,,
East Renfrewshire,1996,Female,477,,,,
Falkirk,1996,Female,826,,,,
Fife,1996,Female,2071,,,,
Glasgow City,1996,Female,4456,,,,
Highland,1996,Female,1186,,,,
Inverclyde,1996,Female,614,,,,
Midlothian,1996,Female,448,,,,
Moray,1996,Female,442,,,,
Na h-Eileanan Siar,1996,Female,211,,,,
North Ayrshire,1996,Female,827,,,,
North Lanarkshire,1996,Female,1866,,,,
Orkney Islands,1996,Female,110,,,,
Perth and Kinross,1996,Female,897,,,,
Renfrewshire,1996,Female,1059,,,,
Scotland,1996,Female,31445,,,,
Scottish Borders,1996,Female,740,,,,
Shetland Islands,1996,Female,125,,,,
South Ayrshire,1996,Female,783,,,,
South Lanarkshire,1996,Female,1836,,,,
Stirling,1996,Female,519,,,,
West Dunbartonshire,1996,Female,592,,,,
West Lothian,1996,Female,713,,,,
Aberdeen City,1996,Male,1142,,,,
Aberdeenshire,1996,Male,1008,,,,
Angus,1996,Male,684,,,,
Argyll and Bute,1996,Male,553,,,,
City of Edinburgh,1996,Male,2460,,,,
Clackmannanshire,1996,Male,269,,,,
Dumfries and Galloway,1996,Male,898,,,,
Dundee City,1996,Male,938,,,,
East Ayrshire,1996,Male,652,,,,
East Dunbartonshire,1996,Male,516,,,,
East Lothian,1996,Male,517,,,,
East Renfrewshire,1996,Male,363,,,,
Falkirk,1996,Male,847,,,,
Fife,1996,Male,1921,,,,
Glasgow City,1996,Male,4190,,,,
Highland,1996,Male,1202,,,,
Inverclyde,1996,Male,645,,,,
Midlothian,1996,Male,406,,,,
Moray,1996,Male,464,,,,
Na h-Eileanan Siar,1996,Male,220,,,,
North Ayrshire,1996,Male,813,,,,
North Lanarkshire,1996,Male,1762,,,,
Orkney Islands,1996,Male,118,,,,
Perth and Kinross,1996,Male,771,,,,
Renfrewshire,1996,Male,1015,,,,
Scotland,1996,Male,29209,,,,
Scottish Borders,1996,Male,618,,,,
Shetland Islands,1996,Male,126,,,,
South Ayrshire,1996,Male,675,,,,
South Lanarkshire,1996,Male,1624,,,,
Stirling,1996,Male,455,,,,
West Dunbartonshire,1996,Male,620,,,,
West Lothian,1996,Male,717,,,,
Aberdeen City,1997,All people,2249,,,,
Aberdeenshire,1997,All people,2045,,,,
Angus,1997,All people,1314,,,,
Argyll and Bute,1997,All people,1238,,,,
City of Edinburgh,1997,All people,5008,,,,
Clackmannanshire,1997,All people,524,,,,
Dumfries and Galloway,1997,All people,1829,,,,
Dundee City,1997,All people,1881,,,,
East Ayrshire,1997,All people,1604,,,,
East Dunbartonshire,1997,All people,1040,,,,
East Lothian,1997,All people,1095,,,,
East Renfrewshire,1997,All people,850,,,,
Falkirk,1997,All people,1596,,,,
Fife,1997,All people,3889,,,,
Glasgow City,1997,All people,8217,,,,
Highland,1997,All people,2390,,,,
Inverclyde,1997,All people,1144,,,,
Midlothian,1997,All people,819,,,,
Moray,1997,All people,880,,,,
Na h-Eileanan Siar,1997,All people,417,,,,
North Ayrshire,1997,All people,1664,,,,
North Lanarkshire,1997,All people,3598,,,,
Orkney Islands,1997,All people,239,,,,
Perth and Kinross,1997,All people,1668,,,,
Renfrewshire,1997,All people,2062,,,,
Scotland,1997,All people,59494,,,,
Scottish Borders,1997,All people,1370,,,,
Shetland Islands,1997,All people,245,,,,
South Ayrshire,1997,All people,1513,,,,
South Lanarkshire,1997,All people,3470,,,,
Stirling,1997,All people,924,,,,
West Dunbartonshire,1997,All people,1264,,,,
West Lothian,1997,All people,1448,,,,
Aberdeen City,1997,Female,1205,,,,
Aberdeenshire,1997,Female,1052,,,,
Angus,1997,Female,740,,,,
Argyll and Bute,1997,Female,664,,,,
City of Edinburgh,1997,Female,2719,,,,
Clackmannanshire,1997,Female,255,,,,
Dumfries and Galloway,1997,Female,946,,,,
Dundee City,1997,Female,968,,,,
East Ayrshire,1997,Female,848,,,,
East Dunbartonshire,1997,Female,560,,,,
East Lothian,1997,Female,593,,,,
East Renfrewshire,1997,Female,471,,,,
Falkirk,1997,Female,821,,,,
Fife,1997,Female,2052,,,,
Glasgow City,1997,Female,4318,,,,
Highland,1997,Female,1225,,,,
Inverclyde,1997,Female,583,,,,
Midlothian,1997,Female,414,,,,
Moray,1997,Female,455,,,,
Na h-Eileanan Siar,1997,Female,208,,,,
North Ayrshire,1997,Female,853,,,,
North Lanarkshire,1997,Female,1813,,,,
Orkney Islands,1997,Female,118,,,,
Perth and Kinross,1997,Female,868,,,,
Renfrewshire,1997,Female,1047,,,,
Scotland,1997,Female,31189,,,,
Scottish Borders,1997,Female,740,,,,
Shetland Islands,1997,Female,120,,,,
South Ayrshire,1997,Female,796,,,,
South Lanarkshire,1997,Female,1857,,,,
Stirling,1997,Female,498,,,,
West Dunbartonshire,1997,Female,646,,,,
West Lothian,1997,Female,736,,,,
Aberdeen City,1997,Male,1044,,,,
Aberdeenshire,1997,Male,993,,,,
Angus,1997,Male,574,,,,
Argyll and Bute,1997,Male,574,,,,
City of Edinburgh,1997,Male,2289,,,,
Clackmannanshire,1997,Male,269,,,,
Dumfries and Galloway,1997,Male,883,,,,
Dundee City,1997,Male,913,,,,
East Ayrshire,1997,Male,756,,,,
East Dunbartonshire,1997,Male,480,,,,
East Lothian,1997,Male,502,,,,
East Renfrewshire,1997,Male,379,,,,
Falkirk,1997,Male,775,,,,
Fife,1997,Male,1837,,,,
Glasgow City,1997,Male,3899,,,,
Highland,1997,Male,1165,,,,
Inverclyde,1997,Male,561,,,,
Midlothian,1997,Male,405,,,,
Moray,1997,Male,425,,,,
Na h-Eileanan Siar,1997,Male,209,,,,
North Ayrshire,1997,Male,811,,,,
North Lanarkshire,1997,Male,1785,,,,
Orkney Islands,1997,Male,121,,,,
Perth and Kinross,1997,Male,800,,,,
Renfrewshire,1997,Male,1015,,,,
Scotland,1997,Male,28305,,,,
Scottish Borders,1997,Male,630,,,,
Shetland Islands,1997,Male,125,,,,
South Ayrshire,1997,Male,717,,,,
South Lanarkshire,1997,Male,1613,,,,
Stirling,1997,Male,426,,,,
West Dunbartonshire,1997,Male,618,,,,
West Lothian,1997,Male,712,,,,
Aberdeen City,1998,All people,2208,,,,
Aberdeenshire,1998,All people,2100,,,,
