Council area,Year,Sex,Age group,Number
Argyll and Bute,2010-11,Female,5 to 9,30
Argyll and Bute,2010-11,Female,50 to 54,8
Argyll and Bute,2010-11,Female,55 to 59,29
Argyll and Bute,2010-11,Female,60 to 64,22
Argyll and Bute,2010-11,Female,65 to 69,1
Argyll and Bute,2010-11,Female,70 to 74,-16
Argyll and Bute,2010-11,Female,75 to 79,-6
Argyll and Bute,2010-11,Female,80 to 84,-5
Argyll and Bute,2010-11,Female,85 to 89,0
Argyll and Bute,2010-11,Female,90 and over,11
Argyll and Bute,2010-11,Female,All ages,194
Argyll and Bute,2010-11,Male,0 to 4,44
Argyll and Bute,2010-11,Male,10 to 14,-2
Argyll and Bute,2010-11,Male,15 to 19,-83
Argyll and Bute,2010-11,Male,20 to 24,0
Argyll and Bute,2010-11,Male,25 to 29,3
Argyll and Bute,2010-11,Male,30 to 34,5
Argyll and Bute,2010-11,Male,35 to 39,3
Argyll and Bute,2010-11,Male,40 to 44,-2
Argyll and Bute,2010-11,Male,45 to 49,-3
Argyll and Bute,2010-11,Male,5 to 9,21
Argyll and Bute,2010-11,Male,50 to 54,37
Argyll and Bute,2010-11,Male,55 to 59,49
Argyll and Bute,2010-11,Male,60 to 64,35
Argyll and Bute,2010-11,Male,65 to 69,14
Argyll and Bute,2010-11,Male,70 to 74,7
Argyll and Bute,2010-11,Male,75 to 79,-4
Argyll and Bute,2010-11,Male,80 to 84,-14
Argyll and Bute,2010-11,Male,85 to 89,0
Argyll and Bute,2010-11,Male,90 and over,0
Argyll and Bute,2010-11,Male,All ages,110
Argyll and Bute,2011-12,Female,0 to 4,29
Argyll and Bute,2011-12,Female,10 to 14,-12
Argyll and Bute,2011-12,Female,15 to 19,-150
Argyll and Bute,2011-12,Female,20 to 24,-19
Argyll and Bute,2011-12,Female,25 to 29,31
Argyll and Bute,2011-12,Female,30 to 34,-5
Argyll and Bute,2011-12,Female,35 to 39,-2
Argyll and Bute,2011-12,Female,40 to 44,-9
Argyll and Bute,2011-12,Female,45 to 49,0
Argyll and Bute,2011-12,Female,5 to 9,-5
Argyll and Bute,2011-12,Female,50 to 54,17
Argyll and Bute,2011-12,Female,55 to 59,11
Argyll and Bute,2011-12,Female,60 to 64,-2
Argyll and Bute,2011-12,Female,65 to 69,-1
Argyll and Bute,2011-12,Female,70 to 74,-5
Argyll and Bute,2011-12,Female,75 to 79,-11
Argyll and Bute,2011-12,Female,80 to 84,-11
Argyll and Bute,2011-12,Female,85 to 89,-1
Argyll and Bute,2011-12,Female,90 and over,-19
Argyll and Bute,2011-12,Female,All ages,-164
Argyll and Bute,2011-12,Male,0 to 4,-7
Argyll and Bute,2011-12,Male,10 to 14,-12
Argyll and Bute,2011-12,Male,15 to 19,-80
Argyll and Bute,2011-12,Male,20 to 24,-51
Argyll and Bute,2011-12,Male,25 to 29,-57
Argyll and Bute,2011-12,Male,30 to 34,30
Argyll and Bute,2011-12,Male,35 to 39,38
Argyll and Bute,2011-12,Male,40 to 44,31
Argyll and Bute,2011-12,Male,45 to 49,22
Argyll and Bute,2011-12,Male,5 to 9,-13
Argyll and Bute,2011-12,Male,50 to 54,17
Argyll and Bute,2011-12,Male,55 to 59,33
Argyll and Bute,2011-12,Male,60 to 64,0
Argyll and Bute,2011-12,Male,65 to 69,15
Argyll and Bute,2011-12,Male,70 to 74,-11
Argyll and Bute,2011-12,Male,75 to 79,-16
Argyll and Bute,2011-12,Male,80 to 84,4
Argyll and Bute,2011-12,Male,85 to 89,-9
Argyll and Bute,2011-12,Male,90 and over,-3
Argyll and Bute,2011-12,Male,All ages,-69
Argyll and Bute,2012-13,Female,0 to 4,68
Argyll and Bute,2012-13,Female,10 to 14,-9
Argyll and Bute,2012-13,Female,15 to 19,-94
Argyll and Bute,2012-13,Female,20 to 24,-10
Argyll and Bute,2012-13,Female,25 to 29,-27
Argyll and Bute,2012-13,Female,30 to 34,25
Argyll and Bute,2012-13,Female,35 to 39,29
Argyll and Bute,2012-13,Female,40 to 44,3
Argyll and Bute,2012-13,Female,45 to 49,6
Argyll and Bute,2012-13,Female,5 to 9,8
Argyll and Bute,2012-13,Female,50 to 54,11
Argyll and Bute,2012-13,Female,55 to 59,23
Argyll and Bute,2012-13,Female,60 to 64,15
Argyll and Bute,2012-13,Female,65 to 69,-5
Argyll and Bute,2012-13,Female,70 to 74,-11
Argyll and Bute,2012-13,Female,75 to 79,-4
Argyll and Bute,2012-13,Female,80 to 84,-1
Argyll and Bute,2012-13,Female,85 to 89,1
Argyll and Bute,2012-13,Female,90 and over,-7
Argyll and Bute,2012-13,Female,All ages,21
Argyll and Bute,2012-13,Male,0 to 4,47
Argyll and Bute,2012-13,Male,10 to 14,-19
Argyll and Bute,2012-13,Male,15 to 19,-57
Argyll and Bute,2012-13,Male,20 to 24,-78
Argyll and Bute,2012-13,Male,25 to 29,-5
Argyll and Bute,2012-13,Male,30 to 34,7
Argyll and Bute,2012-13,Male,35 to 39,9
Argyll and Bute,2012-13,Male,40 to 44,-3
Argyll and Bute,2012-13,Male,45 to 49,23
Argyll and Bute,2012-13,Male,5 to 9,5
Argyll and Bute,2012-13,Male,50 to 54,33
Argyll and Bute,2012-13,Male,55 to 59,-10
Argyll and Bute,2012-13,Male,60 to 64,23
Argyll and Bute,2012-13,Male,65 to 69,-6
Argyll and Bute,2012-13,Male,70 to 74,-3
Argyll and Bute,2012-13,Male,75 to 79,10
Argyll and Bute,2012-13,Male,80 to 84,-12
Argyll and Bute,2012-13,Male,85 to 89,2
Argyll and Bute,2012-13,Male,90 and over,-10
Argyll and Bute,2012-13,Male,All ages,-44
Argyll and Bute,2013-14,Female,0 to 4,2
Argyll and Bute,2013-14,Female,10 to 14,4
Argyll and Bute,2013-14,Female,15 to 19,-98
Argyll and Bute,2013-14,Female,20 to 24,-35
Argyll and Bute,2013-14,Female,25 to 29,-89
Argyll and Bute,2013-14,Female,30 to 34,-24
Argyll and Bute,2013-14,Female,35 to 39,8
Argyll and Bute,2013-14,Female,40 to 44,-15
Argyll and Bute,2013-14,Female,45 to 49,-14
Argyll and Bute,2013-14,Female,5 to 9,6
Argyll and Bute,2013-14,Female,50 to 54,33
Argyll and Bute,2013-14,Female,55 to 59,44
Argyll and Bute,2013-14,Female,60 to 64,14
Argyll and Bute,2013-14,Female,65 to 69,-11
Argyll and Bute,2013-14,Female,70 to 74,-3
Argyll and Bute,2013-14,Female,75 to 79,-12
Argyll and Bute,2013-14,Female,80 to 84,-14
Argyll and Bute,2013-14,Female,85 to 89,-2
Argyll and Bute,2013-14,Female,90 and over,1
Argyll and Bute,2013-14,Female,All ages,-205
Argyll and Bute,2013-14,Male,0 to 4,29
Argyll and Bute,2013-14,Male,10 to 14,-23
Argyll and Bute,2013-14,Male,15 to 19,-74
Argyll and Bute,2013-14,Male,20 to 24,-48
Argyll and Bute,2013-14,Male,25 to 29,-96
Argyll and Bute,2013-14,Male,30 to 34,-14
Argyll and Bute,2013-14,Male,35 to 39,-3
Argyll and Bute,2013-14,Male,40 to 44,23
Argyll and Bute,2013-14,Male,45 to 49,7
Argyll and Bute,2013-14,Male,5 to 9,37
Argyll and Bute,2013-14,Male,50 to 54,19
Argyll and Bute,2013-14,Male,55 to 59,49
Argyll and Bute,2013-14,Male,60 to 64,44
Argyll and Bute,2013-14,Male,65 to 69,45
Argyll and Bute,2013-14,Male,70 to 74,-12
Argyll and Bute,2013-14,Male,75 to 79,-18
Argyll and Bute,2013-14,Male,80 to 84,-20
Argyll and Bute,2013-14,Male,85 to 89,-8
Argyll and Bute,2013-14,Male,90 and over,-7
Argyll and Bute,2013-14,Male,All ages,-70
Argyll and Bute,2014-15,Female,0 to 4,7
Argyll and Bute,2014-15,Female,10 to 14,1
Argyll and Bute,2014-15,Female,15 to 19,-121
Argyll and Bute,2014-15,Female,20 to 24,-51
Argyll and Bute,2014-15,Female,25 to 29,-20
Argyll and Bute,2014-15,Female,30 to 34,28
Argyll and Bute,2014-15,Female,35 to 39,16
Argyll and Bute,2014-15,Female,40 to 44,22
Argyll and Bute,2014-15,Female,45 to 49,13
Argyll and Bute,2014-15,Female,5 to 9,-1
Argyll and Bute,2014-15,Female,50 to 54,23
Argyll and Bute,2014-15,Female,55 to 59,31
Argyll and Bute,2014-15,Female,60 to 64,21
Argyll and Bute,2014-15,Female,65 to 69,-17
Argyll and Bute,2014-15,Female,70 to 74,-20
Argyll and Bute,2014-15,Female,75 to 79,-22
Argyll and Bute,2014-15,Female,80 to 84,-8
Argyll and Bute,2014-15,Female,85 to 89,5
Argyll and Bute,2014-15,Female,90 and over,10
Argyll and Bute,2014-15,Female,All ages,-83
Argyll and Bute,2014-15,Male,0 to 4,34
Argyll and Bute,2014-15,Male,10 to 14,-5
Argyll and Bute,2014-15,Male,15 to 19,-70
Argyll and Bute,2014-15,Male,20 to 24,-47
Argyll and Bute,2014-15,Male,25 to 29,-109
Argyll and Bute,2014-15,Male,30 to 34,-13
Argyll and Bute,2014-15,Male,35 to 39,2
Argyll and Bute,2014-15,Male,40 to 44,6
Argyll and Bute,2014-15,Male,45 to 49,7
Argyll and Bute,2014-15,Male,5 to 9,1
Argyll and Bute,2014-15,Male,50 to 54,-6
Argyll and Bute,2014-15,Male,55 to 59,11
Argyll and Bute,2014-15,Male,60 to 64,48
Argyll and Bute,2014-15,Male,65 to 69,6
Argyll and Bute,2014-15,Male,70 to 74,-1
Argyll and Bute,2014-15,Male,75 to 79,-25
Argyll and Bute,2014-15,Male,80 to 84,12
Argyll and Bute,2014-15,Male,85 to 89,-1
Argyll and Bute,2014-15,Male,90 and over,0
Argyll and Bute,2014-15,Male,All ages,-150
Argyll and Bute,2015-16,Female,0 to 4,83
Argyll and Bute,2015-16,Female,10 to 14,-16
Argyll and Bute,2015-16,Female,15 to 19,-86
Argyll and Bute,2015-16,Female,20 to 24,-63
Argyll and Bute,2015-16,Female,25 to 29,17
Argyll and Bute,2015-16,Female,30 to 34,24
Argyll and Bute,2015-16,Female,35 to 39,47
Argyll and Bute,2015-16,Female,40 to 44,33
Argyll and Bute,2015-16,Female,45 to 49,11
Argyll and Bute,2015-16,Female,5 to 9,26
Argyll and Bute,2015-16,Female,50 to 54,43
Argyll and Bute,2015-16,Female,55 to 59,31
Argyll and Bute,2015-16,Female,60 to 64,10
Argyll and Bute,2015-16,Female,65 to 69,-15
Argyll and Bute,2015-16,Female,70 to 74,-38
Argyll and Bute,2015-16,Female,75 to 79,-15
Argyll and Bute,2015-16,Female,80 to 84,-18
Argyll and Bute,2015-16,Female,85 to 89,-2
Argyll and Bute,2015-16,Female,90 and over,-17
Argyll and Bute,2015-16,Female,All ages,55
Argyll and Bute,2015-16,Male,0 to 4,21
Argyll and Bute,2015-16,Male,10 to 14,-8
Argyll and Bute,2015-16,Male,15 to 19,-49
Argyll and Bute,2015-16,Male,20 to 24,7
Argyll and Bute,2015-16,Male,25 to 29,12
Argyll and Bute,2015-16,Male,30 to 34,26
Argyll and Bute,2015-16,Male,35 to 39,38
Argyll and Bute,2015-16,Male,40 to 44,60
Argyll and Bute,2015-16,Male,45 to 49,31
Argyll and Bute,2015-16,Male,5 to 9,21
Argyll and Bute,2015-16,Male,50 to 54,44
Argyll and Bute,2015-16,Male,55 to 59,30
Argyll and Bute,2015-16,Male,60 to 64,16
Argyll and Bute,2015-16,Male,65 to 69,21
Argyll and Bute,2015-16,Male,70 to 74,-25
Argyll and Bute,2015-16,Male,75 to 79,-14
Argyll and Bute,2015-16,Male,80 to 84,-24
Argyll and Bute,2015-16,Male,85 to 89,-15
Argyll and Bute,2015-16,Male,90 and over,-13
Argyll and Bute,2015-16,Male,All ages,179
Argyll and Bute,2016-17,Female,0 to 4,3
Argyll and Bute,2016-17,Female,10 to 14,23
Argyll and Bute,2016-17,Female,15 to 19,-118
Argyll and Bute,2016-17,Female,20 to 24,1
Argyll and Bute,2016-17,Female,25 to 29,-3
Argyll and Bute,2016-17,Female,30 to 34,35
Argyll and Bute,2016-17,Female,35 to 39,35
Argyll and Bute,2016-17,Female,40 to 44,40
Argyll and Bute,2016-17,Female,45 to 49,10
Argyll and Bute,2016-17,Female,5 to 9,39
Argyll and Bute,2016-17,Female,50 to 54,48
Argyll and Bute,2016-17,Female,55 to 59,41
Argyll and Bute,2016-17,Female,60 to 64,28
Argyll and Bute,2016-17,Female,65 to 69,7
Argyll and Bute,2016-17,Female,70 to 74,-24
Argyll and Bute,2016-17,Female,75 to 79,-21
Argyll and Bute,2016-17,Female,80 to 84,-3
Argyll and Bute,2016-17,Female,85 to 89,-16
Argyll and Bute,2016-17,Female,90 and over,-10
Argyll and Bute,2016-17,Female,All ages,115
Argyll and Bute,2016-17,Male,0 to 4,18
Argyll and Bute,2016-17,Male,10 to 14,-8
Argyll and Bute,2016-17,Male,15 to 19,-77
Argyll and Bute,2016-17,Male,20 to 24,-42
Argyll and Bute,2016-17,Male,25 to 29,-82
Argyll and Bute,2016-17,Male,30 to 34,-6
Argyll and Bute,2016-17,Male,35 to 39,11
Argyll and Bute,2016-17,Male,40 to 44,43
Argyll and Bute,2016-17,Male,45 to 49,14
Argyll and Bute,2016-17,Male,5 to 9,40
Argyll and Bute,2016-17,Male,50 to 54,32
Argyll and Bute,2016-17,Male,55 to 59,55
Argyll and Bute,2016-17,Male,60 to 64,40
Argyll and Bute,2016-17,Male,65 to 69,44
Argyll and Bute,2016-17,Male,70 to 74,-28
Argyll and Bute,2016-17,Male,75 to 79,-5
Argyll and Bute,2016-17,Male,80 to 84,-17
Argyll and Bute,2016-17,Male,85 to 89,-4
Argyll and Bute,2016-17,Male,90 and over,-6
Argyll and Bute,2016-17,Male,All ages,22
Argyll and Bute,2017-18,Female,0 to 4,-7
Argyll and Bute,2017-18,Female,10 to 14,3
Argyll and Bute,2017-18,Female,15 to 19,-72
Argyll and Bute,2017-18,Female,20 to 24,-49
Argyll and Bute,2017-18,Female,25 to 29,-32
Argyll and Bute,2017-18,Female,30 to 34,-9
Argyll and Bute,2017-18,Female,35 to 39,20
Argyll and Bute,2017-18,Female,40 to 44,23
Argyll and Bute,2017-18,Female,45 to 49,25
Argyll and Bute,2017-18,Female,5 to 9,7
Argyll and Bute,2017-18,Female,50 to 54,60
Argyll and Bute,2017-18,Female,55 to 59,51
Argyll and Bute,2017-18,Female,60 to 64,9
Argyll and Bute,2017-18,Female,65 to 69,-15
Argyll and Bute,2017-18,Female,70 to 74,-27
Argyll and Bute,2017-18,Female,75 to 79,-9
Argyll and Bute,2017-18,Female,80 to 84,-9
Argyll and Bute,2017-18,Female,85 to 89,-7
Argyll and Bute,2017-18,Female,90 and over,-15
Argyll and Bute,2017-18,Female,All ages,-53
Argyll and Bute,2017-18,Male,0 to 4,29
Argyll and Bute,2017-18,Male,10 to 14,12
Argyll and Bute,2017-18,Male,15 to 19,-30
Argyll and Bute,2017-18,Male,20 to 24,-96
Argyll and Bute,2017-18,Male,25 to 29,-67
Argyll and Bute,2017-18,Male,30 to 34,-25
Argyll and Bute,2017-18,Male,35 to 39,32
Argyll and Bute,2017-18,Male,40 to 44,31
Argyll and Bute,2017-18,Male,45 to 49,16
Argyll and Bute,2017-18,Male,5 to 9,-1
Argyll and Bute,2017-18,Male,50 to 54,35
Argyll and Bute,2017-18,Male,55 to 59,44
Argyll and Bute,2017-18,Male,60 to 64,41
Argyll and Bute,2017-18,Male,65 to 69,6
Argyll and Bute,2017-18,Male,70 to 74,-39
Argyll and Bute,2017-18,Male,75 to 79,-16
Argyll and Bute,2017-18,Male,80 to 84,-1
Argyll and Bute,2017-18,Male,85 to 89,-1
Argyll and Bute,2017-18,Male,90 and over,2
Argyll and Bute,2017-18,Male,All ages,-28
Argyll and Bute,2018-19,Female,0 to 4,7
Argyll and Bute,2018-19,Female,10 to 14,17
Argyll and Bute,2018-19,Female,15 to 19,-70
Argyll and Bute,2018-19,Female,20 to 24,-31
Argyll and Bute,2018-19,Female,25 to 29,-55
Argyll and Bute,2018-19,Female,30 to 34,47
Argyll and Bute,2018-19,Female,35 to 39,26
Argyll and Bute,2018-19,Female,40 to 44,4
Argyll and Bute,2018-19,Female,45 to 49,13
Argyll and Bute,2018-19,Female,5 to 9,2
Argyll and Bute,2018-19,Female,50 to 54,21
Argyll and Bute,2018-19,Female,55 to 59,50
Argyll and Bute,2018-19,Female,60 to 64,17
Argyll and Bute,2018-19,Female,65 to 69,-8
Argyll and Bute,2018-19,Female,70 to 74,-12
Argyll and Bute,2018-19,Female,75 to 79,-9
Argyll and Bute,2018-19,Female,80 to 84,-21
Argyll and Bute,2018-19,Female,85 to 89,-10
Argyll and Bute,2018-19,Female,90 and over,4
Argyll and Bute,2018-19,Female,All ages,-8
Argyll and Bute,2018-19,Male,0 to 4,11
Argyll and Bute,2018-19,Male,10 to 14,12
Argyll and Bute,2018-19,Male,15 to 19,-35
Argyll and Bute,2018-19,Male,20 to 24,-104
Argyll and Bute,2018-19,Male,25 to 29,-49
Argyll and Bute,2018-19,Male,30 to 34,-15
Argyll and Bute,2018-19,Male,35 to 39,20
Argyll and Bute,2018-19,Male,40 to 44,17
Argyll and Bute,2018-19,Male,45 to 49,29
Argyll and Bute,2018-19,Male,5 to 9,1
Argyll and Bute,2018-19,Male,50 to 54,1
Argyll and Bute,2018-19,Male,55 to 59,19
Argyll and Bute,2018-19,Male,60 to 64,56
Argyll and Bute,2018-19,Male,65 to 69,33
Argyll and Bute,2018-19,Male,70 to 74,-11
Argyll and Bute,2018-19,Male,75 to 79,-19
Argyll and Bute,2018-19,Male,80 to 84,-21
Argyll and Bute,2018-19,Male,85 to 89,2
Argyll and Bute,2018-19,Male,90 and over,-5
Argyll and Bute,2018-19,Male,All ages,-58
City of Edinburgh,2001-02,Female,0 to 4,-161
City of Edinburgh,2001-02,Female,10 to 14,-46
City of Edinburgh,2001-02,Female,15 to 19,1288
City of Edinburgh,2001-02,Female,20 to 24,881
City of Edinburgh,2001-02,Female,25 to 29,-211
City of Edinburgh,2001-02,Female,30 to 34,-228
City of Edinburgh,2001-02,Female,35 to 39,-296
City of Edinburgh,2001-02,Female,40 to 44,-146
City of Edinburgh,2001-02,Female,45 to 49,-64
City of Edinburgh,2001-02,Female,5 to 9,-71
City of Edinburgh,2001-02,Female,50 to 54,-118
City of Edinburgh,2001-02,Female,55 to 59,-98
City of Edinburgh,2001-02,Female,60 to 64,-84
City of Edinburgh,2001-02,Female,65 to 69,-49
City of Edinburgh,2001-02,Female,70 to 74,-30
City of Edinburgh,2001-02,Female,75 to 79,-24
City of Edinburgh,2001-02,Female,80 to 84,-42
City of Edinburgh,2001-02,Female,85 to 89,-27
City of Edinburgh,2001-02,Female,90 and over,-18
City of Edinburgh,2001-02,Female,All ages,456
City of Edinburgh,2001-02,Male,0 to 4,-143
City of Edinburgh,2001-02,Male,10 to 14,-73
City of Edinburgh,2001-02,Male,15 to 19,935
City of Edinburgh,2001-02,Male,20 to 24,779
City of Edinburgh,2001-02,Male,25 to 29,66
City of Edinburgh,2001-02,Male,30 to 34,-288
City of Edinburgh,2001-02,Male,35 to 39,-239
City of Edinburgh,2001-02,Male,40 to 44,-79
City of Edinburgh,2001-02,Male,45 to 49,-95
City of Edinburgh,2001-02,Male,5 to 9,-47
City of Edinburgh,2001-02,Male,50 to 54,-84
City of Edinburgh,2001-02,Male,55 to 59,-103
City of Edinburgh,2001-02,Male,60 to 64,-103
City of Edinburgh,2001-02,Male,65 to 69,-44
City of Edinburgh,2001-02,Male,70 to 74,-26
City of Edinburgh,2001-02,Male,75 to 79,13
City of Edinburgh,2001-02,Male,80 to 84,-33
City of Edinburgh,2001-02,Male,85 to 89,-2
City of Edinburgh,2001-02,Male,90 and over,-11
City of Edinburgh,2001-02,Male,All ages,423
City of Edinburgh,2002-03,Female,0 to 4,-252
City of Edinburgh,2002-03,Female,10 to 14,-81
City of Edinburgh,2002-03,Female,15 to 19,1248
City of Edinburgh,2002-03,Female,20 to 24,849
City of Edinburgh,2002-03,Female,25 to 29,-405
City of Edinburgh,2002-03,Female,30 to 34,-478
City of Edinburgh,2002-03,Female,35 to 39,-255
City of Edinburgh,2002-03,Female,40 to 44,-149
City of Edinburgh,2002-03,Female,45 to 49,-68
City of Edinburgh,2002-03,Female,5 to 9,-155
City of Edinburgh,2002-03,Female,50 to 54,-69
City of Edinburgh,2002-03,Female,55 to 59,-122
City of Edinburgh,2002-03,Female,60 to 64,-117
City of Edinburgh,2002-03,Female,65 to 69,-49
City of Edinburgh,2002-03,Female,70 to 74,-32
City of Edinburgh,2002-03,Female,75 to 79,-29
City of Edinburgh,2002-03,Female,80 to 84,-10
City of Edinburgh,2002-03,Female,85 to 89,-27
City of Edinburgh,2002-03,Female,90 and over,-22
City of Edinburgh,2002-03,Female,All ages,-223
City of Edinburgh,2002-03,Male,0 to 4,-258
City of Edinburgh,2002-03,Male,10 to 14,-36
City of Edinburgh,2002-03,Male,15 to 19,818
City of Edinburgh,2002-03,Male,20 to 24,930
City of Edinburgh,2002-03,Male,25 to 29,-115
City of Edinburgh,2002-03,Male,30 to 34,-485
City of Edinburgh,2002-03,Male,35 to 39,-320
City of Edinburgh,2002-03,Male,40 to 44,-231
City of Edinburgh,2002-03,Male,45 to 49,-72
City of Edinburgh,2002-03,Male,5 to 9,-30
City of Edinburgh,2002-03,Male,50 to 54,-99
City of Edinburgh,2002-03,Male,55 to 59,-79
City of Edinburgh,2002-03,Male,60 to 64,-92
City of Edinburgh,2002-03,Male,65 to 69,-50
City of Edinburgh,2002-03,Male,70 to 74,-37
City of Edinburgh,2002-03,Male,75 to 79,1
City of Edinburgh,2002-03,Male,80 to 84,-1
City of Edinburgh,2002-03,Male,85 to 89,-7
City of Edinburgh,2002-03,Male,90 and over,-4
City of Edinburgh,2002-03,Male,All ages,-167
City of Edinburgh,2003-04,Female,0 to 4,-186
City of Edinburgh,2003-04,Female,10 to 14,-78
City of Edinburgh,2003-04,Female,15 to 19,1660
City of Edinburgh,2003-04,Female,20 to 24,1345
City of Edinburgh,2003-04,Female,25 to 29,-40
City of Edinburgh,2003-04,Female,30 to 34,-356
City of Edinburgh,2003-04,Female,35 to 39,-240
City of Edinburgh,2003-04,Female,40 to 44,-96
City of Edinburgh,2003-04,Female,45 to 49,-60
City of Edinburgh,2003-04,Female,5 to 9,-133
City of Edinburgh,2003-04,Female,50 to 54,-14
City of Edinburgh,2003-04,Female,55 to 59,-140
City of Edinburgh,2003-04,Female,60 to 64,-72
City of Edinburgh,2003-04,Female,65 to 69,-48
City of Edinburgh,2003-04,Female,70 to 74,-42
City of Edinburgh,2003-04,Female,75 to 79,-35
City of Edinburgh,2003-04,Female,80 to 84,-30
City of Edinburgh,2003-04,Female,85 to 89,-40
City of Edinburgh,2003-04,Female,90 and over,-50
City of Edinburgh,2003-04,Female,All ages,1345
City of Edinburgh,2003-04,Male,0 to 4,-193
City of Edinburgh,2003-04,Male,10 to 14,-99
City of Edinburgh,2003-04,Male,15 to 19,1160
City of Edinburgh,2003-04,Male,20 to 24,1114
City of Edinburgh,2003-04,Male,25 to 29,78
City of Edinburgh,2003-04,Male,30 to 34,-350
City of Edinburgh,2003-04,Male,35 to 39,-300
City of Edinburgh,2003-04,Male,40 to 44,-50
City of Edinburgh,2003-04,Male,45 to 49,-57
City of Edinburgh,2003-04,Male,5 to 9,-102
City of Edinburgh,2003-04,Male,50 to 54,-41
City of Edinburgh,2003-04,Male,55 to 59,-62
City of Edinburgh,2003-04,Male,60 to 64,-72
City of Edinburgh,2003-04,Male,65 to 69,-72
City of Edinburgh,2003-04,Male,70 to 74,-35
City of Edinburgh,2003-04,Male,75 to 79,-20
City of Edinburgh,2003-04,Male,80 to 84,-5
City of Edinburgh,2003-04,Male,85 to 89,-3
City of Edinburgh,2003-04,Male,90 and over,-2
City of Edinburgh,2003-04,Male,All ages,889
City of Edinburgh,2004-05,Female,0 to 4,-54
City of Edinburgh,2004-05,Female,10 to 14,-26
City of Edinburgh,2004-05,Female,15 to 19,1845
City of Edinburgh,2004-05,Female,20 to 24,1706
City of Edinburgh,2004-05,Female,25 to 29,185
City of Edinburgh,2004-05,Female,30 to 34,-154
City of Edinburgh,2004-05,Female,35 to 39,-210
City of Edinburgh,2004-05,Female,40 to 44,-38
City of Edinburgh,2004-05,Female,45 to 49,-22
City of Edinburgh,2004-05,Female,5 to 9,1
City of Edinburgh,2004-05,Female,50 to 54,-44
City of Edinburgh,2004-05,Female,55 to 59,-39
City of Edinburgh,2004-05,Female,60 to 64,-99
City of Edinburgh,2004-05,Female,65 to 69,-49
City of Edinburgh,2004-05,Female,70 to 74,-25
City of Edinburgh,2004-05,Female,75 to 79,-19
City of Edinburgh,2004-05,Female,80 to 84,-53
City of Edinburgh,2004-05,Female,85 to 89,-18
City of Edinburgh,2004-05,Female,90 and over,-39
City of Edinburgh,2004-05,Female,All ages,2848
City of Edinburgh,2004-05,Male,0 to 4,-94
City of Edinburgh,2004-05,Male,10 to 14,62
City of Edinburgh,2004-05,Male,15 to 19,1322
City of Edinburgh,2004-05,Male,20 to 24,1496
City of Edinburgh,2004-05,Male,25 to 29,423
City of Edinburgh,2004-05,Male,30 to 34,-117
City of Edinburgh,2004-05,Male,35 to 39,-210
City of Edinburgh,2004-05,Male,40 to 44,-55
City of Edinburgh,2004-05,Male,45 to 49,-43
City of Edinburgh,2004-05,Male,5 to 9,12
City of Edinburgh,2004-05,Male,50 to 54,-39
City of Edinburgh,2004-05,Male,55 to 59,-78
City of Edinburgh,2004-05,Male,60 to 64,-64
City of Edinburgh,2004-05,Male,65 to 69,-45
City of Edinburgh,2004-05,Male,70 to 74,-25
City of Edinburgh,2004-05,Male,75 to 79,-18
City of Edinburgh,2004-05,Male,80 to 84,-24
City of Edinburgh,2004-05,Male,85 to 89,-16
City of Edinburgh,2004-05,Male,90 and over,-18
City of Edinburgh,2004-05,Male,All ages,2469
City of Edinburgh,2005-06,Female,0 to 4,-67
City of Edinburgh,2005-06,Female,10 to 14,1
City of Edinburgh,2005-06,Female,15 to 19,1340
City of Edinburgh,2005-06,Female,20 to 24,1353
City of Edinburgh,2005-06,Female,25 to 29,146
City of Edinburgh,2005-06,Female,30 to 34,-307
City of Edinburgh,2005-06,Female,35 to 39,-162
City of Edinburgh,2005-06,Female,40 to 44,-50
City of Edinburgh,2005-06,Female,45 to 49,-53
City of Edinburgh,2005-06,Female,5 to 9,-70
City of Edinburgh,2005-06,Female,50 to 54,-40
City of Edinburgh,2005-06,Female,55 to 59,-85
City of Edinburgh,2005-06,Female,60 to 64,-89
City of Edinburgh,2005-06,Female,65 to 69,-21
City of Edinburgh,2005-06,Female,70 to 74,-26
City of Edinburgh,2005-06,Female,75 to 79,-12
City of Edinburgh,2005-06,Female,80 to 84,-13
City of Edinburgh,2005-06,Female,85 to 89,-19
City of Edinburgh,2005-06,Female,90 and over,-33
City of Edinburgh,2005-06,Female,All ages,1793
City of Edinburgh,2005-06,Male,0 to 4,-91
City of Edinburgh,2005-06,Male,10 to 14,-41
City of Edinburgh,2005-06,Male,15 to 19,779
City of Edinburgh,2005-06,Male,20 to 24,1473
City of Edinburgh,2005-06,Male,25 to 29,378
City of Edinburgh,2005-06,Male,30 to 34,-177
City of Edinburgh,2005-06,Male,35 to 39,-216
City of Edinburgh,2005-06,Male,40 to 44,-66
City of Edinburgh,2005-06,Male,45 to 49,-61
City of Edinburgh,2005-06,Male,5 to 9,-30
City of Edinburgh,2005-06,Male,50 to 54,-56
City of Edinburgh,2005-06,Male,55 to 59,-71
City of Edinburgh,2005-06,Male,60 to 64,-72
City of Edinburgh,2005-06,Male,65 to 69,-68
City of Edinburgh,2005-06,Male,70 to 74,-24
City of Edinburgh,2005-06,Male,75 to 79,-29
City of Edinburgh,2005-06,Male,80 to 84,-4
