Council area,Year,Sex,Age group,Number
Aberdeen City,2003-04,Male,60 to 64,-37
Aberdeen City,2003-04,Male,65 to 69,-28
Aberdeen City,2003-04,Male,70 to 74,0
Aberdeen City,2003-04,Male,75 to 79,-10
Aberdeen City,2003-04,Male,80 to 84,-13
Aberdeen City,2003-04,Male,85 to 89,-3
Aberdeen City,2003-04,Male,90 and over,-4
Aberdeen City,2003-04,Male,All ages,-616
Aberdeen City,2004-05,Female,0 to 4,69
Aberdeen City,2004-05,Female,10 to 14,43
Aberdeen City,2004-05,Female,15 to 19,773
Aberdeen City,2004-05,Female,20 to 24,84
Aberdeen City,2004-05,Female,25 to 29,-124
Aberdeen City,2004-05,Female,30 to 34,-148
Aberdeen City,2004-05,Female,35 to 39,-22
Aberdeen City,2004-05,Female,40 to 44,27
Aberdeen City,2004-05,Female,45 to 49,31
Aberdeen City,2004-05,Female,5 to 9,30
Aberdeen City,2004-05,Female,50 to 54,4
Aberdeen City,2004-05,Female,55 to 59,-19
Aberdeen City,2004-05,Female,60 to 64,-25
Aberdeen City,2004-05,Female,65 to 69,-7
Aberdeen City,2004-05,Female,70 to 74,-3
Aberdeen City,2004-05,Female,75 to 79,-11
Aberdeen City,2004-05,Female,80 to 84,3
Aberdeen City,2004-05,Female,85 to 89,-11
Aberdeen City,2004-05,Female,90 and over,-12
Aberdeen City,2004-05,Female,All ages,682
Aberdeen City,2004-05,Male,0 to 4,5
Aberdeen City,2004-05,Male,10 to 14,32
Aberdeen City,2004-05,Male,15 to 19,417
Aberdeen City,2004-05,Male,20 to 24,237
Aberdeen City,2004-05,Male,25 to 29,-31
Aberdeen City,2004-05,Male,30 to 34,-191
Aberdeen City,2004-05,Male,35 to 39,-86
Aberdeen City,2004-05,Male,40 to 44,51
Aberdeen City,2004-05,Male,45 to 49,14
Aberdeen City,2004-05,Male,5 to 9,19
Aberdeen City,2004-05,Male,50 to 54,9
Aberdeen City,2004-05,Male,55 to 59,7
Aberdeen City,2004-05,Male,60 to 64,-31
Aberdeen City,2004-05,Male,65 to 69,-18
Aberdeen City,2004-05,Male,70 to 74,-9
Aberdeen City,2004-05,Male,75 to 79,3
Aberdeen City,2004-05,Male,80 to 84,-1
Aberdeen City,2004-05,Male,85 to 89,2
Aberdeen City,2004-05,Male,90 and over,-1
Aberdeen City,2004-05,Male,All ages,428
Aberdeen City,2005-06,Female,0 to 4,17
Aberdeen City,2005-06,Female,10 to 14,-62
Aberdeen City,2005-06,Female,15 to 19,725
Aberdeen City,2005-06,Female,20 to 24,109
Aberdeen City,2005-06,Female,25 to 29,48
Aberdeen City,2005-06,Female,30 to 34,-129
Aberdeen City,2005-06,Female,35 to 39,-82
Aberdeen City,2005-06,Female,40 to 44,-19
Aberdeen City,2005-06,Female,45 to 49,-20
Aberdeen City,2005-06,Female,5 to 9,-3
Aberdeen City,2005-06,Female,50 to 54,-3
Aberdeen City,2005-06,Female,55 to 59,-29
Aberdeen City,2005-06,Female,60 to 64,-15
Aberdeen City,2005-06,Female,65 to 69,-16
Aberdeen City,2005-06,Female,70 to 74,-11
Aberdeen City,2005-06,Female,75 to 79,9
Aberdeen City,2005-06,Female,80 to 84,-22
Aberdeen City,2005-06,Female,85 to 89,-20
Aberdeen City,2005-06,Female,90 and over,-18
Aberdeen City,2005-06,Female,All ages,459
Aberdeen City,2005-06,Male,0 to 4,15
Aberdeen City,2005-06,Male,10 to 14,5
Aberdeen City,2005-06,Male,15 to 19,388
Aberdeen City,2005-06,Male,20 to 24,487
Aberdeen City,2005-06,Male,25 to 29,76
Aberdeen City,2005-06,Male,30 to 34,23
Aberdeen City,2005-06,Male,35 to 39,-124
Aberdeen City,2005-06,Male,40 to 44,-67
Aberdeen City,2005-06,Male,45 to 49,3
Aberdeen City,2005-06,Male,5 to 9,11
Aberdeen City,2005-06,Male,50 to 54,14
Aberdeen City,2005-06,Male,55 to 59,-34
Aberdeen City,2005-06,Male,60 to 64,-34
Aberdeen City,2005-06,Male,65 to 69,-28
Aberdeen City,2005-06,Male,70 to 74,-17
Aberdeen City,2005-06,Male,75 to 79,-8
Aberdeen City,2005-06,Male,80 to 84,-17
Aberdeen City,2005-06,Male,85 to 89,0
Aberdeen City,2005-06,Male,90 and over,-9
Aberdeen City,2005-06,Male,All ages,684
Aberdeen City,2006-07,Female,0 to 4,110
Aberdeen City,2006-07,Female,10 to 14,25
Aberdeen City,2006-07,Female,15 to 19,667
Aberdeen City,2006-07,Female,20 to 24,354
Aberdeen City,2006-07,Female,25 to 29,167
Aberdeen City,2006-07,Female,30 to 34,12
Aberdeen City,2006-07,Female,35 to 39,6
Aberdeen City,2006-07,Female,40 to 44,23
Aberdeen City,2006-07,Female,45 to 49,41
Aberdeen City,2006-07,Female,5 to 9,23
